diagnos,grp,code,name,name_english,sdb_amne
E58,0406,E58,Dietbetingad kalciumbrist,Dietary calcium deficiency,Dödsorsaker
E59,0406,E59,Dietbetingad selenbrist,Dietary selenium deficiency,Dödsorsaker
E60,0406,E60,Dietbetingad zinkbrist,Dietary zinc deficiency,Dödsorsaker
E61,0406,E61,Brist på andra grundämnen i födan,Deficiency of other nutrient elements,Dödsorsaker
E63,0406,E63,Andra näringsbristtillstånd,Other nutritional deficiencies,Dödsorsaker
E64,0406,E64,Sena effekter av undernäring eller andra näringsbristtillstånd,Sequelae of malnutrition and other nutritional deficiencies,Dödsorsaker
0407,04,E65-E68,Fetma och andra övernäringstillstånd,Obesity and other hyperalimentation,Dödsorsaker
E65,0407,E65,Lokaliserad fetma,Localized adiposity,Dödsorsaker
E66,0407,E66,Fetma,Obesity,Dödsorsaker
E67,0407,E67,Annan övernäring,Other hyperalimentation,Dödsorsaker
E68,0407,E68,Sena effekter av övernäring,Sequelae of hyperalimentation,Dödsorsaker
0408,04,E70-E90,Ämnesomsättningssjukdomar,Metabolic disorders,Dödsorsaker
E70,0408,E70,Rubbningar i omsättningen av aromatiska aminosyror,Disorders of aromatic amino-acid metabolism,Dödsorsaker
E71,0408,E71,Rubbningar i omsättningen av grenade aminosyror eller av fettsyror,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,Dödsorsaker
E72,0408,E72,Andra rubbningar i omsättningen av aminosyror,Other disorders of amino-acid metabolism,Dödsorsaker
E73,0408,E73,Laktosintolerans,Lactose intolerance,Dödsorsaker
E74,0408,E74,Andra rubbningar i kolhydratomsättningen,Other disorders of carbohydrate metabolism,Dödsorsaker
E75,0408,E75,Rubbningar i sfingolipidomsättningen eller andra rubbningar i fettupplagringen,Disorders of sphingolipid metabolism and other lipid storage disorders,Dödsorsaker
E76,0408,E76,Rubbningar i omsättningen av glukosaminoglykaner,Disorders of glycosaminoglycan metabolism,Dödsorsaker
E77,0408,E77,Rubbningar i glykoproteinomsättningen,Disorders of glycoprotein metabolism,Dödsorsaker
E78,0408,E78,Rubbning i omsättningen av lipoprotein eller andra lipidemier,Disorders of lipoprotein metabolism and other lipidaemias,Dödsorsaker
E79,0408,E79,Rubbningar i purin- eller pyrimidinomsättningen,Disorders of purine and pyrimidine metabolism,Dödsorsaker
E80,0408,E80,Rubbningar i omsättningen av porfyrin eller bilirubin,Disorders of porphyrin and bilirubin metabolism,Dödsorsaker
E83,0408,E83,Rubbningar i mineralomsättningen,Disorders of mineral metabolism,Dödsorsaker
E84,0408,E84,Cystisk fibros,Cystic fibrosis,Dödsorsaker
E85,0408,E85,Amyloidos,Amyloidosis,Dödsorsaker
E86,0408,E86,Minskad vätskevolym,Volume depletion,Dödsorsaker
E87,0408,E87,"Andra rubbningar i vätske-, elektrolyt- eller syrabasbalans","Other disorders of fluid, electrolyte and acid-base balance",Dödsorsaker
E88,0408,E88,Andra ämnesomsättningssjukdomar,Other metabolic disorders,Dödsorsaker
E89,0408,E89,Endokrina rubbningar eller ämnesomsättningssjukdomar efter kirurgiska eller medicinska ingrepp som ej klassificeras annorstädes,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Dödsorsaker
E90,0408,E90,Rubbningar i nutrition eller ämnesomsättning vid sjukdomar som klassificeras annorstädes,Nutritional and metabolic disorders in diseases classified elsewhere+B2977,Dödsorsaker
05,00,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,Mental and behavioural disorders,Dödsorsaker
0501,05,F00-F09,"Organiska, inklusive symtomatiska, psykiska störningar","Organic, including symptomatic, mental disorders",Dödsorsaker
F00,0501,F00,Demens vid Alzheimers sjukdom,Dementia in Alzheimer's disease (G30.-+),Dödsorsaker
F01,0501,F01,Vaskulär demens,Vascular dementia,Dödsorsaker
F02,0501,F02,Demens vid andra sjukdomar som klassificeras annorstädes,Dementia in other diseases classified elsewhere,Dödsorsaker
F03,0501,F03,Ospecificerad demens,Unspecified dementia,Dödsorsaker
F04,0501,F04,Organiska amnesisyndrom ej framkallade av alkohol eller andra psykoaktiva substanser,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",Dödsorsaker
F05,0501,F05,Delirium ej framkallat av alkohol eller andra psykoaktiva substanser,"Delirium, not induced by alcohol and other psychoactive substances",Dödsorsaker
F06,0501,F06,"Andra psykiska störningar orsakade av hjärnskada, cerebral dysfunktion eller kroppslig sjukdom",Other mental disorders due to brain damage and dysfunction and to physical disease,Dödsorsaker
F07,0501,F07,"Personlighets- eller beteendestörningar orsakade av hjärnsjukdom, hjärnskada eller cerebral dysfunktion","Personality and behavioural disorders due to brain disease, damage and dysfunction",Dödsorsaker
F09,0501,F09,Ospecificerad organisk eller symtomatisk psykisk störning,Unspecified organic or symptomatic mental disorder,Dödsorsaker
0502,05,F10-F19,Psykiska störningar och beteendestörningar orsakade av psykoaktiva substanser,Mental and behavioural disorders due to psychoactive substance use,Dödsorsaker
F10,0502,F10,Psykiska störningar eller beteendestörningar orsakade av alkohol,Mental and behavioural disorders due to use of alcohol,Dödsorsaker
F11,0502,F11,Psykiska störningar eller beteendestörningar orsakade av opiater,Mental and behavioural disorders due to use of opioids,Dödsorsaker
F12,0502,F12,Psykiska störningar eller beteendestörningar orsakade av cannabis,Mental and behavioural disorders due to use of cannabinoids,Dödsorsaker
F13,0502,F13,Psykiska störningar eller beteendestörningar orsakade av sedativa eller hypnotika,Mental and behavioural disorders due to use of sedatives or hypnotics,Dödsorsaker
F14,0502,F14,Psykiska störningar eller beteendestörningar orsakade av kokain,Mental and behavioural disorders due to use of cocaine,Dödsorsaker
F15,0502,F15,"Psykiska störningar eller beteendestörningar orsakade av andra stimulantia, däribland koffein","Mental and behavioural disorders due to use of other stimulants, including caffeine",Dödsorsaker
F16,0502,F16,Psykiska störningar eller beteendestörningar orsakade av hallucinogener,Mental and behavioural disorders due to use of hallucinogens,Dödsorsaker
F17,0502,F17,Psykiska störningar eller beteendestörningar orsakade av tobak,Mental and behavioural disorders due to use of tobacco,Dödsorsaker
F18,0502,F18,Psykiska störningar eller beteendestörningar orsakade av flyktiga lösningsmedel,Mental and behavioural disorders due to use of volatile solvents,Dödsorsaker
F19,0502,F19,Psykiska störningar eller beteendestörningar orsakade av flera droger i kombination eller av andra psykoaktiva substanser,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Dödsorsaker
0503,05,F20-F29,"Schizofreni, schizotypa störningar och vanföreställningssyndrom","Schizophrenia, schizotypal and delusional disorders",Dödsorsaker
F20,0503,F20,Schizofreni,Schizophrenia,Dödsorsaker
F21,0503,F21,Schizotyp störning,Schizotypal disorder,Dödsorsaker
F22,0503,F22,Kroniska vanföreställningssyndrom,Persistent delusional disorders,Dödsorsaker
F23,0503,F23,Akuta eller övergående psykotiska syndrom,Acute and transient psychotic disorders,Dödsorsaker
F24,0503,F24,Inducerat vanföreställningssyndrom,Induced delusional disorder,Dödsorsaker
F25,0503,F25,Schizoaffektiva syndrom,Schizoaffective disorders,Dödsorsaker
F28,0503,F28,Andra icke organiska psykotiska störningar,Other nonorganic psychotic disorders,Dödsorsaker
F29,0503,F29,Ospecificerad icke organisk psykos,Unspecified nonorganic psychosis,Dödsorsaker
0504,05,F30-F39,Förstämningssyndrom,Mood [affective] disorders,Dödsorsaker
F30,0504,F30,Manisk episod,Manic episode,Dödsorsaker
F31,0504,F31,Bipolär sjukdom,Bipolar affective disorder,Dödsorsaker
F32,0504,F32,Depressiv episod,Depressive episode,Dödsorsaker
F33,0504,F33,Recidiverande depressioner,Recurrent depressive disorder,Dödsorsaker
F34,0504,F34,Kroniska förstämningssyndrom,Persistent mood [affective] disorders,Dödsorsaker
F38,0504,F38,Andra förstämningssyndrom,Other mood [affective] disorders,Dödsorsaker
F39,0504,F39,Ospecificerat förstämningssyndrom,Unspecified mood [affective] disorder,Dödsorsaker
0505,05,F40-F48,"Neurotiska, stressrelaterade och somatoforma syndrom","Neurotic, stress-related and somatoform disorders",Dödsorsaker
F40,0505,F40,Fobiska syndrom,Phobic anxiety disorders,Dödsorsaker
F41,0505,F41,Andra ångestsyndrom,Other anxiety disorders,Dödsorsaker
F42,0505,F42,Tvångssyndrom,Obsessive-compulsive disorder,Dödsorsaker
F43,0505,F43,Anpassningsstörningar eller reaktion på svår stress,"Reaction to severe stress, and adjustment disorders",Dödsorsaker
F44,0505,F44,Dissociativa syndrom,Dissociative [conversion] disorders,Dödsorsaker
F45,0505,F45,Somatoforma syndrom,Somatoform disorders,Dödsorsaker
F48,0505,F48,Andra neurotiska syndrom,Other neurotic disorders,Dödsorsaker
0506,05,F50-F59,Beteendestörningar förenade med fysiologiska rubbningar och fysiska faktorer,Behavioural syndromes associated with physiological disturbances and physical factors,Dödsorsaker
F50,0506,F50,Ätstörningar,Eating disorders,Dödsorsaker
F51,0506,F51,Icke organiska sömnstörningar,Nonorganic sleep disorders,Dödsorsaker
F52,0506,F52,"Sexuell dysfunktion, ej orsakad av organisk störning eller sjukdom","Sexual dysfunction, not caused by organic disorder or disease",Dödsorsaker
F53,0506,F53,"Psykiska störningar eller beteendestörningar sammanhängande med barnsängstiden, vilka ej klassificeras annorstädes","Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Dödsorsaker
F54,0506,F54,Psykologiska faktorer eller beteendefaktorer med betydelse för störningar eller sjukdomar som klassificeras annorstädes,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Dödsorsaker
F55,0506,F55,Missbruk av substanser som ej är beroendeframkallande,Abuse of non-dependence-producing substances,Dödsorsaker
F59,0506,F59,Ospecificerade beteendesyndrom förenade med fysiologiska störningar eller fysiska faktorer,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Dödsorsaker
0507,05,F60-F69,Personlighetsstörningar och beteendestörningar hos vuxna,Disorders of adult personality and behaviour,Dödsorsaker
F60,0507,F60,Specifika personlighetsstörningar,Specific personality disorders,Dödsorsaker
F61,0507,F61,Personlighetsstörningar av blandtyp eller andra personlighetsstörningar,Mixed and other personality disorders,Dödsorsaker
F62,0507,F62,Kroniska personlighetsförändringar ej orsakade av hjärnskada eller hjärnsjukdom,"Enduring personality changes, not attributable to brain damage and disease",Dödsorsaker
F63,0507,F63,Impulskontrollstörningar,Habit and impulse disorders,Dödsorsaker
F64,0507,F64,Könsidentitetsstörningar,Gender identity disorders,Dödsorsaker
F65,0507,F65,Störningar av sexuell preferens,Disorders of sexual preference,Dödsorsaker
F66,0507,F66,Psykiska störningar eller beteendestörningar sammanhängande med sexuell utveckling eller orientering,Psychological and behavioural disorders associated with sexual development and orientation,Dödsorsaker
F68,0507,F68,Andra störningar av personlighet eller beteende hos vuxna,Other disorders of adult personality and behaviour,Dödsorsaker
F69,0507,F69,Ospecificerad störning av personlighet eller beteende hos vuxna,Unspecified disorder of adult personality and behaviour,Dödsorsaker
0508,05,F70-F79,Psykisk utvecklingsstörning,Mental retardation,Dödsorsaker
F70,0508,F70,Lindrig psykisk utvecklingsstörning,Mild mental retardation,Dödsorsaker
F71,0508,F71,Medelsvår psykisk utvecklingsstörning,Moderate mental retardation,Dödsorsaker
F72,0508,F72,Svår psykisk utvecklingsstörning,Severe mental retardation,Dödsorsaker
F73,0508,F73,Grav psykisk utvecklingsstörning,Profound mental retardation,Dödsorsaker
F78,0508,F78,Annan psykisk utvecklingsstörning,Other mental retardation,Dödsorsaker
F79,0508,F79,Ospecificerad psykisk utvecklingsstörning,Unspecified mental retardation,Dödsorsaker
0509,05,F80-F89,Störningar av psykisk utveckling,Disorders of psychological development,Dödsorsaker
F80,0509,F80,Specifika störningar av tal- eller språkutvecklingen,Specific developmental disorders of speech and language,Dödsorsaker
F81,0509,F81,Specifika utvecklingsstörningar av inlärningsfärdigheter,Specific developmental disorders of scholastic skills,Dödsorsaker
F82,0509,F82,Specifik motorisk utvecklingsstörning,Specific developmental disorder of motor function,Dödsorsaker
F83,0509,F83,Blandade specifika utvecklingsstörningar,Mixed specific developmental disorders,Dödsorsaker
F84,0509,F84,Genomgripande utvecklingsstörningar,Pervasive developmental disorders,Dödsorsaker
F88,0509,F88,Andra specificerade störningar av psykisk utveckling,Other disorders of psychological development,Dödsorsaker
F89,0509,F89,Ospecificerad störning av psykisk utveckling,Unspecified disorder of psychological development,Dödsorsaker
0510,05,F90-F98,Beteendestörningar och emotionella störningar med debut vanligen under barndom och ungdomstid,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Dödsorsaker
F90,0510,F90,Hyperaktivitetsstörningar,Hyperkinetic disorders,Dödsorsaker
F91,0510,F91,Beteendestörningar av utagerande slag,Conduct disorders,Dödsorsaker
F92,0510,F92,Blandade störningar av beteende eller känsloliv,Mixed disorders of conduct and emotions,Dödsorsaker
F93,0510,F93,Emotionella störningar med debut särskilt under barndomen,Emotional disorders with onset specific to childhood,Dödsorsaker
F94,0510,F94,Störningar av social funktion med debut särskilt under barndom eller ungdomstid,Disorders of social functioning with onset specific to childhood and adolescence,Dödsorsaker
F95,0510,F95,Tics,Tic disorders,Dödsorsaker
F98,0510,F98,Andra beteendestörningar eller emotionella störningar med debut vanligen under barndom eller ungdomstid,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Dödsorsaker
0511,05,F99-F99,Ospecificerad psykisk störning,Unspecified mental disorder,Dödsorsaker
F99,0511,F99,Psykisk störning ej specificerad på annat sätt,"Mental disorder, not otherwise specified",Dödsorsaker
06,00,G00-G99,Sjukdomar i nervsystemet,Diseases of the nervous system,Dödsorsaker
0601,06,G00-G09,Inflammatoriska sjukdomar i centrala nervsystemet,Inflammatory diseases of the central nervous system,Dödsorsaker
G00,0601,G00,Bakteriell meningit som ej klassificeras annorstädes,"Bacterial meningitis, not elsewhere classified",Dödsorsaker
G01,0601,G01,Meningit vid bakteriesjukdomar som klassificeras annorstädes,Meningitis in bacterial diseases classified elsewhere,Dödsorsaker
G02,0601,G02,Meningit vid andra infektions- eller parasitsjukdomar som klassificeras annorstädes,Meningitis in other infectious and parasitic diseases classified elsewhere,Dödsorsaker
G03,0601,G03,Meningit av andra eller icke specificerade orsaker,Meningitis due to other and unspecified causes,Dödsorsaker
G04,0601,G04,"Encefalit, myelit eller encefalomyelit","Encephalitis, myelitis and encephalomyelitis",Dödsorsaker
G05,0601,G05,"Encefalit, myelit eller encefalomyelit vid sjukdomar som klassificeras annorstädes","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",Dödsorsaker
G06,0601,G06,Abscess eller granulom i skallen eller ryggradskanalen,Intracranial and intraspinal abscess and granuloma,Dödsorsaker
G07,0601,G07,Abscess eller granulom i skallen eller ryggradskanalen vid sjukdomar som klassificeras annorstädes,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Dödsorsaker
G08,0601,G08,Flebit eller tromboflebit i skallens eller ryggradskanalens venösa hålrum,Intracranial and intraspinal phlebitis and thrombophlebitis,Dödsorsaker
G09,0601,G09,Sena effekter av inflammatoriska sjukdomar i centrala nervsystemet,Sequelae of inflammatory diseases of central nervous system,Dödsorsaker
0602,06,G10-G14,Systemiska atrofier som primärt engagerar centrala nervsystemet,Systemic atrophies primarily affecting the central nervous system,Dödsorsaker
G10,0602,G10,Huntingtons sjukdom,Huntington's disease,Dödsorsaker
G11,0602,G11,Hereditär ataxi (ärftlig koordinationsrubbning),Hereditary ataxia,Dödsorsaker
G12,0602,G12,Spinal muskelatrofi eller besläktade syndrom,Spinal muscular atrophy and related syndromes,Dödsorsaker
G13,0602,G13,Systemiska atrofier som primärt engagerar centrala nervsystemet vid sjukdomar som klassificeras annorstädes,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Dödsorsaker
G14,0602,G14,Postpolisyndrom,Postpolio syndrome,Dödsorsaker
0603,06,G20-G26,Basalgangliesjukdomar och rörelserubbningar,Extrapyramidal and movement disorders,Dödsorsaker
G20,0603,G20,Parkinsons sjukdom,Parkinson's disease,Dödsorsaker
G21,0603,G21,Sekundär parkinsonism,Secondary parkinsonism,Dödsorsaker
G22,0603,G22,Parkinsonism vid sjukdomar som klassificeras annorstädes,Parkinsonism in diseases classified elsewhere,Dödsorsaker
G23,0603,G23,Andra degenerativa sjukdomar i basala ganglierna,Other degenerative diseases of basal ganglia,Dödsorsaker
G24,0603,G24,Dystoni,Dystonia,Dödsorsaker
G25,0603,G25,Andra basalgangliesjukdomar eller rörelserubbningar,Other extrapyramidal and movement disorders,Dödsorsaker
G26,0603,G26,Basalganglietillstånd eller rörelserubbningar vid sjukdomar som klassificeras annorstädes,Extrapyramidal and movement disorders in diseases classified elsewhere,Dödsorsaker
0604,06,G30-G32,Andra degenerativa sjukdomar i nervsystemet,Other degenerative diseases of the nervous system,Dödsorsaker
G30,0604,G30,Alzheimers sjukdom,Alzheimer's disease,Dödsorsaker
G31,0604,G31,Andra degenerativa sjukdomar i nervsystemet som ej klassificeras annorstädes,"Other degenerative diseases of nervous system, not elsewhere classified",Dödsorsaker
G32,0604,G32,Andra degenerativa tillstånd i nervsystemet vid sjukdomar som klassificeras annorstädes,Other degenerative disorders of nervous system in diseases classified elsewhere,Dödsorsaker
0605,06,G35-G37,Myelinförstörande sjukdomar i centrala nervsystemet,Demyelinating diseases of the central nervous system,Dödsorsaker
G35,0605,G35,Multipel skleros,Multiple sclerosis,Dödsorsaker
G36,0605,G36,Annan akut utbredd myelinförstöring,Other acute disseminated demyelination,Dödsorsaker
G37,0605,G37,Andra myelinförstörande sjukdomar i centrala nervsystemet,Other demyelinating diseases of central nervous system,Dödsorsaker
0606,06,G40-G47,Episodiska och paroxysmala sjukdomar,Episodic and paroxysmal disorders,Dödsorsaker
G40,0606,G40,Epilepsi,Epilepsy,Dödsorsaker
G41,0606,G41,Status epilepticus,Status epilepticus,Dödsorsaker
G43,0606,G43,Migrän,Migraine,Dödsorsaker
G44,0606,G44,Andra huvudvärkssyndrom,Other headache syndromes,Dödsorsaker
G45,0606,G45,Övergående cerebral ischemi (otillräcklig blodtillförsel till hjärnan) eller besläktade syndrom,Transient cerebral ischaemic attacks and related syndromes,Dödsorsaker
G46,0606,G46,Vaskulära syndrom i hjärnan vid cerebrovaskulära sjukdomar (I60-I67²),Vascular syndromes of brain in cerebrovascular diseases (I60-I67+),Dödsorsaker
G47,0606,G47,Sömnstörningar,Sleep disorders,Dödsorsaker
0607,06,G50-G59,"Sjukdomar i nerver, nervrötter och nervplexus","Nerve, nerve root and plexus disorders",Dödsorsaker
G50,0607,G50,Sjukdomar i trigeminusnerven,Disorders of trigeminal nerve,Dödsorsaker
G51,0607,G51,Sjukdomar i facialisnerven,Facial nerve disorders,Dödsorsaker
G52,0607,G52,Sjukdomar i andra kranialnerver,Disorders of other cranial nerves,Dödsorsaker
G53,0607,G53,Förändringar i kranialnerver vid sjukdomar som klassificeras annorstädes,Cranial nerve disorders in diseases classified elsewhere,Dödsorsaker
G54,0607,G54,Sjukdomar i nervrötter eller nervplexus,Nerve root and plexus disorders,Dödsorsaker
G55,0607,G55,Kompression av nervrötter eller nervplexus vid sjukdomar som klassificeras annorstädes,Nerve root and plexus compressions in diseases classified elsewhere,Dödsorsaker
G56,0607,G56,Mononeuropati (sjukdom i en enda perifer nerv) i övre extremitet,Mononeuropathies of upper limb,Dödsorsaker
G57,0607,G57,Mononeuropati (sjukdom i en enda perifer nerv) i nedre extremitet,Mononeuropathies of lower limb,Dödsorsaker
G58,0607,G58,Andra mononeuropatier (sjukdomar i en enda perifer nerv),Other mononeuropathies,Dödsorsaker
G59,0607,G59,Mononeuropati (sjukdom i en enda perifer nerv) vid sjukdomar som klassificeras annorstädes,Mononeuropathy in diseases classified elsewhere,Dödsorsaker
0608,06,G60-G64,Polyneuropatier (samtidig sjukdom i flera perifera nerver) och andra sjukdomar i perifera nervsystemet,Polyneuropathies and other disorders of the peripheral nervous system,Dödsorsaker
G60,0608,G60,"Hereditär eller idiopatisk neuropati (sjukdom i perifer nerv, ärftlig eller av okänd orsak)",Hereditary and idiopathic neuropathy,Dödsorsaker
G61,0608,G61,Inflammatorisk polyneuropati (inflammatorisk sjukdom i flera perifera nerver samtidigt),Inflammatory polyneuropathy,Dödsorsaker
G62,0608,G62,Andra polyneuropatier (sjukdomar i flera perifera nerver samtidigt),Other polyneuropathies,Dödsorsaker
G63,0608,G63,Polyneuropati (sjukdom i flera perifera nerver samtidigt) vid sjukdomar som klassificeras annorstädes,Polyneuropathy in diseases classified elsewhere,Dödsorsaker
G64,0608,G64,Andra sjukdomar i perifera nervsystemet,Other disorders of peripheral nervous system,Dödsorsaker
0609,06,G70-G73,Neuromuskulära transmissionsrubbningar (rubbningar i överföring av impulser mellan nerver och muskler) och sjukdomar i muskler,Diseases of myoneural junction and muscle,Dödsorsaker
G70,0609,G70,Myasthenia gravis eller andra neuromuskulära transmissionsrubbningar (rubbningar i överföring av impulser mellan nerver och muskler),Myasthenia gravis and other myoneural disorders,Dödsorsaker
G71,0609,G71,Primära muskelsjukdomar,Primary disorders of muscles,Dödsorsaker
G72,0609,G72,Andra myopatier,Other myopathies,Dödsorsaker
G73,0609,G73,Neuromuskulära transmissionsrubbningar (rubbningar i överföringen av impulser mellan nerver och muskler) eller muskelförändringar vid sjukdomar som klassificeras annorstädes,Disorders of myoneural junction and muscle in diseases classified elsewhere,Dödsorsaker
0610,06,G80-G83,Cerebral pares och andra förlamningssyndrom,Cerebral palsy and other paralytic syndromes,Dödsorsaker
G80,0610,G80,Cerebral pares,Infantile cerebral palsy,Dödsorsaker
G81,0610,G81,Ensidig förlamning,Hemiplegia,Dödsorsaker
G82,0610,G82,Parapares eller tetrapares (förlamning av båda nedre extremiteterna eller förlamning av alla fyra extremiteterna),Paraplegia and tetraplegia,Dödsorsaker
G83,0610,G83,Andra förlamningssyndrom,Other paralytic syndromes,Dödsorsaker
0611,06,G90-G99,Andra sjukdomar i nervsystemet,Other disorders of the nervous system,Dödsorsaker
G90,0611,G90,Sjukdomar i autonoma nervsystemet,Disorders of autonomic nervous system,Dödsorsaker
G91,0611,G91,"Hydrocefalus (vattenskalle, ökad mängd hjärnkammarvatten)",Hydrocephalus,Dödsorsaker
G92,0611,G92,Toxisk encefalopati (hjärnsjukdom),Toxic encephalopathy,Dödsorsaker
G93,0611,G93,Andra sjukdomar i hjärnan,Other disorders of brain,Dödsorsaker
G94,0611,G94,Andra tillstånd i hjärnan vid sjukdomar som klassificeras annorstädes,Other disorders of brain in diseases classified elsewhere,Dödsorsaker
G95,0611,G95,Andra sjukdomar i ryggmärgen,Other diseases of spinal cord,Dödsorsaker
G96,0611,G96,Andra sjukdomar i centrala nervsystemet,Other disorders of central nervous system,Dödsorsaker
G97,0611,G97,Sjukdomar i nervsystemet orsakade av kirurgiska eller medicinska ingrepp som ej klassificeras annorstädes,"Postprocedural disorders of nervous system, not elsewhere classified",Dödsorsaker
G98,0611,G98,Andra sjukdomar i nervsystemet som ej klassificeras annorstädes,"Other disorders of nervous system, not elsewhere classified",Dödsorsaker
G99,0611,G99,Andra tillstånd i nervsystemet vid sjukdomar som klassificeras annorstädes,Other disorders of nervous system in diseases classified elsewhere,Dödsorsaker
07,00,H00-H59,Sjukdomar i ögat och närliggande organ,Diseases of the eye and adnexa,Dödsorsaker
0701,07,H00-H06,"Sjukdomar i ögonlock, tårapparat och ögonhåla","Disorders of eyelid, lacrimal system and orbit",Dödsorsaker
H00,0701,H00,Hordeolum (vagel) eller chalazion,Hordeolum and chalazion,Dödsorsaker
H01,0701,H01,Andra ögonlocksinflammationer,Other inflammation of eyelid,Dödsorsaker
H02,0701,H02,Andra ögonlockssjukdomar,Other disorders of eyelid,Dödsorsaker
H03,0701,H03,Förändringar i ögonlock vid sjukdomar som klassificeras annorstädes,Disorders of eyelid in diseases classified elsewhere,Dödsorsaker
H04,0701,H04,Sjukdomar i tårapparaten,Disorders of lacrimal system,Dödsorsaker
H05,0701,H05,Sjukdomar i ögonhålan,Disorders of orbit,Dödsorsaker
H06,0701,H06,Förändringar i tårapparaten eller ögonhålan vid sjukdomar som klassificeras annorstädes,Disorders of lacrimal system and orbit in diseases classified elsewhere,Dödsorsaker
0702,07,H10-H13,Sjukdomar i bindehinnan,Disorders of conjunctiva,Dödsorsaker
H10,0702,H10,Bindehinneinflammation,Conjunctivitis,Dödsorsaker
H11,0702,H11,Andra sjukdomar i bindehinnan,Other disorders of conjunctiva,Dödsorsaker
H13,0702,H13,Förändringar i bindehinnan vid sjukdomar som klassificeras annorstädes,Disorders of conjunctiva in diseases classified elsewhere,Dödsorsaker
0703,07,H15-H22,"Sjukdomar i senhinnan, hornhinnan, regnbågshinnan och ciliarkroppen","Disorders of sclera, cornea, iris and ciliary body",Dödsorsaker
H15,0703,H15,Sjukdomar i senhinnan,Disorders of sclera,Dödsorsaker
H16,0703,H16,Hornhinneinflammation,Keratitis,Dödsorsaker
H17,0703,H17,Ärr eller grumlingar i hornhinnan,Corneal scars and opacities,Dödsorsaker
H18,0703,H18,Andra sjukdomar i hornhinnan,Other disorders of cornea,Dödsorsaker
H19,0703,H19,Förändringar i senhinnan eller hornhinnan vid sjukdomar som klassificeras annorstädes,Disorders of sclera and cornea in diseases classified elsewhere,Dödsorsaker
H20,0703,H20,Inflammation i regnbågshinnan eller ciliarkroppen,Iridocyclitis,Dödsorsaker
H21,0703,H21,Andra förändringar i regnbågshinnan eller ciliarkroppen,Other disorders of iris and ciliary body,Dödsorsaker
H22,0703,H22,Förändringar i regnbågshinnan eller ciliarkroppen vid sjukdomar som klassificeras annorstädes,Disorders of iris and ciliary body in diseases classified elsewhere,Dödsorsaker
0704,07,H25-H28,Sjukdomar i linsen,Disorders of lens,Dödsorsaker
H25,0704,H25,Katarakt (grå starr) vid högre ålder,Senile cataract,Dödsorsaker
H26,0704,H26,Andra former av katarakt (grå starr),Other cataract,Dödsorsaker
H27,0704,H27,Andra linsförändringar,Other disorders of lens,Dödsorsaker
H28,0704,H28,Katarakt (grå starr) eller andra linsförändringar vid sjukdomar som klassificeras annorstädes,Cataract and other disorders of lens in diseases classified elsewhere,Dödsorsaker
0705,07,H30-H36,Sjukdomar i åderhinnan och näthinnan,Disorders of choroid and retina,Dödsorsaker
H30,0705,H30,Inflammation i åderhinnan eller näthinnan,Chorioretinal inflammation,Dödsorsaker
H31,0705,H31,Andra förändringar i åderhinnan,Other disorders of choroid,Dödsorsaker
H32,0705,H32,Förändringar i både åderhinnan och näthinnan vid sjukdomar som klassificeras annorstädes,Chorioretinal disorders in diseases classified elsewhere,Dödsorsaker
H33,0705,H33,Näthinneavlossning eller näthinnehål,Retinal detachments and breaks,Dödsorsaker
H34,0705,H34,Ocklusion av retinala blodkärl,Retinal vascular occlusions,Dödsorsaker
H35,0705,H35,Andra sjukliga förändringar i näthinnan,Other retinal disorders,Dödsorsaker
H36,0705,H36,Förändringar i näthinnan vid sjukdomar som klassificeras annorstädes,Retinal disorders in diseases classified elsewhere,Dödsorsaker
0706,07,H40-H42,Glaukom (grön starr),Glaucoma,Dödsorsaker
H40,0706,H40,Glaukom (grön starr),Glaucoma,Dödsorsaker
H42,0706,H42,Glaukom (grön starr) vid sjukdomar som klassificeras annorstädes,Glaucoma in diseases classified elsewhere,Dödsorsaker
0707,07,H43-H45,Sjukdomar i glaskroppen och ögongloben,Disorders of vitreous body and globe,Dödsorsaker
H43,0707,H43,Sjukliga förändringar i glaskroppen,Disorders of vitreous body,Dödsorsaker
H44,0707,H44,Sjukliga förändringar i ögongloben,Disorders of globe,Dödsorsaker
H45,0707,H45,Förändringar i glaskroppen eller ögongloben vid sjukdomar som klassificeras annorstädes,Disorders of vitreous body and globe in diseases classified elsewhere,Dödsorsaker
0708,07,H46-H48,Sjukdomar i synnerven och synbanorna,Disorders of optic nerve and visual pathways,Dödsorsaker
H46,0708,H46,Synnervsinflammation,Optic neuritis,Dödsorsaker
