drg,name,sdb_amne,sdb_titel
E40A,"Cirkulationssjukdomar med hjärtinfarkt, med kardiovaskulär komplikation, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E40C,"Cirkulationssjukdomar med hjärtinfarkt, med kardiovaskulär komplikation, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E40E,"Cirkulationssjukdomar med hjärtinfarkt, med kardiovaskulär komplikation, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E41A,"Cirkulationssjukdomar med hjärtinfarkt, utan kardiovaskulär komplikation, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E41C,"Cirkulationssjukdomar med hjärtinfarkt, utan kardiovaskulär komplikation, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E41E,"Cirkulationssjukdomar med hjärtinfarkt, utan kardiovaskulär komplikation, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E42N,"Cirkulationssjukdomar med hjärtinfarkt, avliden inom 3 dygn",DRG i sluten vård,DRG_2012_och_senare
E43A,"Cirkulationssjukdomar med hjärtkateterisering, med komplicerande diagnos, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E43C,"Cirkulationssjukdomar med hjärtkateterisering, med komplicerande diagnos, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E43E,"Cirkulationssjukdomar med hjärtkateterisering, med komplicerande diagnos, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E44A,"Cirkulationssjukdomar med hjärtkateterisering, utan komplicerande diagnos, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E44C,"Cirkulationssjukdomar med hjärtkateterisering, utan komplicerande diagnos, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E44E,"Cirkulationssjukdomar med hjärtkateterisering, utan komplicerande diagnos, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E45O,"Cirkulationssjukdomar med hjärtkateterisering, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E46A,"Akut och subakut endokardit, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E46C,"Akut och subakut endokardit, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E46E,"Akut och subakut endokardit, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E47A,"Hjärtsvikt och chock, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E47C,"Hjärtsvikt och chock, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E47E,"Hjärtsvikt och chock, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E48A,"Hjärtstillestånd, oförklarat, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E48E,"Hjärtstillestånd, oförklarat, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E50C,"Tromboflebit i djupa vener, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E50E,"Tromboflebit i djupa vener, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E51A,"Sjukdomar i perifera kärl, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E51C,"Sjukdomar i perifera kärl, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E51E,"Sjukdomar i perifera kärl, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E52A,"Hjärtsjukdomar pga ateroskleros, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E52C,"Hjärtsjukdomar pga ateroskleros, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E52E,"Hjärtsjukdomar pga ateroskleros, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E53A,"Hypertoni, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E53C,"Hypertoni, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E53E,"Hypertoni, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E60A,"Sjukdomar i hjärtklaffar och medfödda hjärtsjukdomar, >17 år, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E60C,"Sjukdomar i hjärtklaffar och medfödda hjärtsjukdomar, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E60E,"Sjukdomar i hjärtklaffar och medfödda hjärtsjukdomar, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E61C,"Sjukdomar i hjärtklaffar och medfödda hjärtsjukdomar, 0-17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E61E,"Sjukdomar i hjärtklaffar och medfödda hjärtsjukdomar, 0-17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E65C,"Hjärtarytmier och överledningsstörningar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E65E,"Hjärtarytmier och överledningsstörningar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E66C,"Angina pectoris, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E66E,"Angina pectoris, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E67A,"Synkope och kollaps, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E67C,"Synkope och kollaps, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E67E,"Synkope och kollaps, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E68N,"Bröstsmärtor, ej angina pectoris",DRG i sluten vård,DRG_2012_och_senare
E69A,"Andra cirkulationssjukdomar, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E69C,"Andra cirkulationssjukdomar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E69E,"Andra cirkulationssjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E75O,"Cirkulationsundersökning, invasiv, besök",DRG i sluten vård,DRG_2012_och_senare
E76O,"Elkonvertering, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E77O,"Sklerosering/embolisering av andra mindre kärl, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E78O,"Kardiell stimulering transesofagealt, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E79O,"Kombinerade hjärtundersökningar, besök",DRG i sluten vård,DRG_2012_och_senare
E80O,"Långtidsmonitorering av EKG eller blodtryck, besök",DRG i sluten vård,DRG_2012_och_senare
E81O,"Sklerosering av ytliga varicer, besök",DRG i sluten vård,DRG_2012_och_senare
E82O,"Arbetsprov, besök",DRG i sluten vård,DRG_2012_och_senare
E83O,"Ekokardiografi, besök",DRG i sluten vård,DRG_2012_och_senare
E84O,"Kärlfysiologiska undersökningar, besök",DRG i sluten vård,DRG_2012_och_senare
E85O,"Elektrokardiogram (EKG), besök",DRG i sluten vård,DRG_2012_och_senare
E86O,"Kärlbiopsier, besök",DRG i sluten vård,DRG_2012_och_senare
E87O,"Ultraljud av kärl, besök",DRG i sluten vård,DRG_2012_och_senare
E99O,Övriga läkarbesök vid sjukdomar i cirkulationsorganen,DRG i sluten vård,DRG_2012_och_senare
E99X,Läkarbesök i team vid sjukdomar i cirkulationsorganen,DRG i sluten vård,DRG_2012_och_senare
E99Z,Läkarvård per tel vid sjukdomar i cirkulationsorganen,DRG i sluten vård,DRG_2012_och_senare
F01A,"Rektal resektion och exstirpation, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F01C,"Rektal resektion och exstirpation, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F01E,"Rektal resektion och exstirpation, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F01O,"Rektal resektion och exstirpation, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F05A,"Större tunn- och tjocktarmsoperationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F05C,"Större tunn- och tjocktarmsoperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F05E,"Större tunn- och tjocktarmsoperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F05O,"Större tunn- och tjocktarmsoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F07A,"Adherenslösning och delning av brid, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F07C,"Adherenslösning och delning av brid, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F07E,"Adherenslösning och delning av brid, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F07O,"Adherenslösning och delning av brid, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F09A,"Mindre tunn- och tjocktarmsoperationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F09C,"Mindre tunn- och tjocktarmsoperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F09E,"Mindre tunn- och tjocktarmsoperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F09O,"Mindre tunn- och tjocktarmsoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F11A,"Större operationer på magsäck, matstrupe och tolvfingertarm, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F11E,"Större operationer på magsäck, matstrupe och tolvfingertarm, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F12C,"Andra operationer på magsäck, matstrupe och tolvfingertarm, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F12E,"Andra operationer på magsäck, matstrupe och tolvfingertarm, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F13O,"Operationer på magsäck, matstrupe och tolvfingertarm, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F15A,"Operationer i analregionen, stomirevisioner och andra mindre tarmingrepp, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F15C,"Operationer i analregionen, stomirevisioner och andra mindre tarmingrepp, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F15E,"Operationer i analregionen, stomirevisioner och andra mindre tarmingrepp, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F15O,"Operationer i analregionen, stomirevisioner och andra mindre tarmingrepp, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F20C,"Operationer av andra bråck än inguinala och femorala, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F20E,"Operationer av andra bråck än inguinala och femorala, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F20O,"Operationer av andra bråck än inguinala och femorala, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F23C,"Operationer av inguinala och femorala bråck, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F23E,"Operationer av inguinala och femorala bråck, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F24O,"Operationer av unilaterala inguinala och femorala bråck, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F25O,"Operationer av bilaterala inguinala och femorala bråck, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F26C,"Bråckoperationer, 0-17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F26E,"Bråckoperationer, 0-17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F30C,"Appendektomi, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F30E,"Appendektomi, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F30O,"Appendektomi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F35A,"Andra operationer i mage och tarm, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F35C,"Andra operationer i mage och tarm, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F35E,"Andra operationer i mage och tarm, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F35O,"Andra operationer i mage och tarm, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F39A,"Maligna tumörer i matsmältningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F39C,"Maligna tumörer i matsmältningsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F39E,"Maligna tumörer i matsmältningsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F40A,"Magsår och gastrointestinal blödning, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F40C,"Magsår och gastrointestinal blödning, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F40E,"Magsår och gastrointestinal blödning, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F43A,"Inflammatorisk tarmsjukdom, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F43C,"Inflammatorisk tarmsjukdom, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F43E,"Inflammatorisk tarmsjukdom, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F45C,"Passagehinder i mag-tarmkanalen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F45E,"Passagehinder i mag-tarmkanalen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F47A,"Buksmärtor och gastroenteriter, >17 år, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F47C,"Buksmärtor och gastroenteriter, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F47E,"Buksmärtor och gastroenteriter, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F49C,"Buksmärtor och gastroenteriter, 0-17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F49E,"Buksmärtor och gastroenteriter, 0-17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F59A,"Andra diagnoser i matsmältningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
F59C,"Andra diagnoser i matsmältningsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
F59E,"Andra diagnoser i matsmältningsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
F65O,"Endoskopisk inläggning av gastrointestinal stent, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F66O,"Terapeutisk enteroskopi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F67O,"Terapeutisk endoskopi av övre gastrointestinalkanalen, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F68O,"Endoskopisk hemorrojdbehandling, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F69O,"Annan terapeutisk rektoskopi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F70O,"Enteroskopi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F71O,"Koloskopi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F72O,"Endoskopi av övre gastrointestinalkanalen, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F73O,"Rektosigmoideoskopi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F74O,"Kombinerad gastrointestinal endoskopi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F75O,"Mindre tarm- och bukåtgärder, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F76O,"Gastrointestinala funktionstester, besök",DRG i sluten vård,DRG_2012_och_senare
F77O,"Punktion/biopsi andra bukorgan, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F78O,"Punktion/biopsi lever/gallvägar/pankreas, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F79O,"Gastrointestinala sonder och katetrar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
F99O,Övriga läkarbesök vid sjukdomar i matsmältningsorganen,DRG i sluten vård,DRG_2012_och_senare
F99X,Läkarbesök i team vid sjukdomar i matsmältningsorganen,DRG i sluten vård,DRG_2012_och_senare
F99Z,Läkarvård per tel vid sjukdomar i matsmältningsorganen,DRG i sluten vård,DRG_2012_och_senare
G01C,"Levertransplantation, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G01E,"Levertransplantation, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G01N,Levertransplantation,DRG i sluten vård,DRG_2012_och_senare
G01O,"Levertransplantation, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G02N,Pankreastransplantation med eller utan njurtransplantation,DRG i sluten vård,DRG_2012_och_senare
G02O,"Pankreastransplantation med eller utan njurtransplantation, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G05A,"Pankreas-, lever- eller shuntoperationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G05C,"Pankreas-, lever- eller shuntoperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G05E,"Pankreas-, lever- eller shuntoperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G05O,"Pankreas-, lever- eller shuntoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G06A,"Gallvägsoperationer utom kolecystektomi, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G06C,"Gallvägsoperationer utom kolecystektomi, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G06E,"Gallvägsoperationer utom kolecystektomi, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G10C,"Kolecystektomi med exploration av koledokus, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G10E,"Kolecystektomi med exploration av koledokus, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G11A,"Kolecystektomi, öppen, utan exploration av koledokus, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G11C,"Kolecystektomi, öppen, utan exploration av koledokus, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G11E,"Kolecystektomi, öppen, utan exploration av koledokus, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G12A,"Laparo-/endoskopiska galloperationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G12C,"Laparo-/endoskopiska galloperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G12E,"Laparo-/endoskopiska galloperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G13O,"Kolecystektomi och gallvägsoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G20A,"Diagnostiska operationer på lever och gallvägar vid malign sjukdom, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G20E,"Diagnostiska operationer på lever och gallvägar vid malign sjukdom, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G21A,"Diagnostiska operationer på lever och gallvägar vid benign sjukdom, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G21C,"Diagnostiska operationer på lever och gallvägar vid benign sjukdom, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G21E,"Diagnostiska operationer på lever och gallvägar vid benign sjukdom, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G22O,"Diagnostiska operationer på lever och gallvägar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G29C,"Andra operationer på lever, gallvägar och pankreas, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G29E,"Andra operationer på lever, gallvägar och pankreas, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G29O,"Andra operationer på lever, gallvägar och pankreas, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G30A,"Cirros och alkoholhepatit, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G30C,"Cirros och alkoholhepatit, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G30E,"Cirros och alkoholhepatit, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G33A,"Maligna tumörer i pancreas, lever och gallvägar, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G33C,"Maligna tumörer i pancreas, lever och gallvägar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G33E,"Maligna tumörer i pancreas, lever och gallvägar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G35A,"Sjukdomar i pankreas utom malignitet, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G35C,"Sjukdomar i pankreas utom malignitet, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G35E,"Sjukdomar i pankreas utom malignitet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G38A,"Sjukdomar i lever utom malign tumör, cirros och alkoholhepatit, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G38C,"Sjukdomar i lever utom malign tumör, cirros och alkoholhepatit, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G38E,"Sjukdomar i lever utom malign tumör, cirros och alkoholhepatit, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G40A,"Gallvägssjukdomar, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
G40C,"Gallvägssjukdomar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
G40E,"Gallvägssjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
G70O,"Endoskopisk inläggning av stent i gallvägar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G71O,"Terapeutisk endoskopisk gallvägsundersökning, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G72O,"Endoskopisk gallvägsundersökning, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G75O,"Extrakorporeal stötvågslitotripsi gallvägar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
G99O,"Övriga läkarbesök vid sjukdomar i lever, gallvägar och bukspottkörtel",DRG i sluten vård,DRG_2012_och_senare
G99X,"Läkarbesök i team vid sjukdomar i lever, gallvägar och bukspottkörtel",DRG i sluten vård,DRG_2012_och_senare
G99Z,"Läkarvård per tel vid sjukdomar i lever, gallvägar och bukspottkörtel",DRG i sluten vård,DRG_2012_och_senare
H00N,Dubbelsidiga eller multipla ledoperationer på extremiteter,DRG i sluten vård,DRG_2012_och_senare
H01N,Sekundära ledproteser samt replantationer i höftet,DRG i sluten vård,DRG_2012_och_senare
H02C,"Primära ledproteser i höft, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H02E,"Primära ledproteser i höft, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H03N,Sekundära ledproteser samt replantationer i knä/fotled,DRG i sluten vård,DRG_2012_och_senare
H04N,Primära ledproteser i knä/fotled,DRG i sluten vård,DRG_2012_och_senare
H06O,"Ledproteser på nedre extremitet, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H07C,"Operationer på höft och femur utom på större led, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H07E,"Operationer på höft och femur utom på större led, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H08C,"Operationer på höft och femur utom på större led, 0-17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H08E,"Operationer på höft och femur utom på större led, 0-17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H08O,"Operationer på höft och femur utom på större led, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H09N,"Amputation för sjukdomar i  muskler, ben eller bindväv",DRG i sluten vård,DRG_2012_och_senare
H09O,"Amputation för sjukdomar i  muskler, ben eller bindväv, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H10O,"Större knäoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H12O,"Andra knäoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H13A,"Knäoperationer utom diagnostiska artroskopier, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
H13C,"Knäoperationer utom diagnostiska artroskopier, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H13E,"Knäoperationer utom diagnostiska artroskopier, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H14N,Fotoperationer,DRG i sluten vård,DRG_2012_och_senare
H14O,"Fotoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H16C,"Lokal excision och avlägsnande av internt fixationsmtrl i höft och lår, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H16E,"Lokal excision och avlägsnande av internt fixationsmtrl i höft och lår, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H16O,"Lokal excision och avlägsnande av internt fixationsmtrl i höft och lår, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H17C,Stor op höft/lår ej prot >17 K,DRG i sluten vård,DRG_2012_och_senare
H17E,Stor op höft/lår ej prot >17 U,DRG i sluten vård,DRG_2012_och_senare
H18C,Annan op höft/lår ej prot >17 K,DRG i sluten vård,DRG_2012_och_senare
H18E,Annan op höft/lår ej prot >17 U,DRG i sluten vård,DRG_2012_och_senare
H20C,"Spinal korrektion eller kombinerad ryggradsfusion, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H20E,"Spinal korrektion eller kombinerad ryggradsfusion, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H21C,"Annan ryggradsfusion, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H21E,"Annan ryggradsfusion, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H24C,"Andra rygg- och halsoperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H24E,"Andra rygg- och halsoperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H25O,"Rygg- och halsoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H26A,"Större reimplantationer eller ledprotesoperationer på övre extremitet, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
H26E,"Större reimplantationer eller ledprotesoperationer på övre extremitet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H26O,"Större reimplantationer eller ledprotesoperationer på övre extremitet, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H27N,Större operationer på skuldra/armbåge eller andra armoperationer med komplicerande bidiagnos,DRG i sluten vård,DRG_2012_och_senare
H27O,"Större operationer på skuldra/armbåge, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H28N,Andra operationer på skuldra/armbåge,DRG i sluten vård,DRG_2012_och_senare
H28O,"Andra armoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H29N,Större tum- & ledoperationer eller andra hand- & handledsoperationer med komplicerande bidiagnos,DRG i sluten vård,DRG_2012_och_senare
H29O,"Större tum- & ledoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H30N,Hand- och handledsoperationer utom på större leder,DRG i sluten vård,DRG_2012_och_senare
H30O,"Hand- och handledsoperationer utom på större leder, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H36A,"Operationer på fotled, underben eller överarm, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
H36C,"Operationer på fotled, underben eller överarm, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H36E,"Operationer på fotled, underben eller överarm, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H37C,"Operationer på fotled, underben eller överarm, 0-17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H37E,"Operationer på fotled, underben eller överarm, 0-17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H38O,"Operationer på fotled, underben eller överarm, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H41N,Lokal excision och avlägsnande av internt fixationsmtrl utom i höft och lår,DRG i sluten vård,DRG_2012_och_senare
H41O,"Lokal excision och avlägsnande av internt fixationsmtrl utom i höft och lår, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H42C,"Biopsier från muskel, ben och bindväv, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H42E,"Biopsier från muskel, ben och bindväv, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H42O,"Biopsier från muskel, ben och bindväv, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H43A,"Sårrevision och hudtransplantation för sjukdomar i muskler, ben och bindväv utom hand, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
H43C,"Sårrevision och hudtransplantation för sjukdomar i muskler, ben och bindväv utom hand, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H43E,"Sårrevision och hudtransplantation för sjukdomar i muskler, ben och bindväv utom hand, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H43O,"Sårrevision och hudtransplantation för sjukdomar i muskler, ben och bindväv utom hand, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H44C,"Bindvävsoperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
H44E,"Bindvävsoperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
H44O,"Bindvävsoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
H45C,"Diagnostisk artroskopi, komplicerat",DRG i sluten vård,DRG_2012_och_senare
