atc,grp,code,name,sdb_amne,sdb_titel
A12CC04,A12CC,A12CC04,Magnesiumcitrat,Läkemedel,ATC-koder
A12CC30,A12CC,A12CC30,Magnesium (olika salter i kombination),Läkemedel,ATC-koder
A12CE,A12C,A12CE,Selen,Läkemedel,ATC-koder
A12CE01,A12CE,A12CE01,Natriumselenat,Läkemedel,ATC-koder
A12CE02,A12CE,A12CE02,Natriumselenit,Läkemedel,ATC-koder
A12CX,A12C,A12CX,Övriga mineralämnen,Läkemedel,ATC-koder
A14,A,A14,Anabola steroider för systemiskt bruk,Läkemedel,ATC-koder
A14A,A14,A14A,Anabola steroider,Läkemedel,ATC-koder
A14AA,A14A,A14AA,Androstanderivat,Läkemedel,ATC-koder
A14AA04,A14AA,A14AA04,Metenolon,Läkemedel,ATC-koder
A14AA07,A14AA,A14AA07,Prasteron,Läkemedel,ATC-koder
A14AA08,A14AA,A14AA08,Oxandrolon,Läkemedel,ATC-koder
A14AB,A14A,A14AB,Östrenderivat,Läkemedel,ATC-koder
A14AB01,A14AB,A14AB01,Nandrolon,Läkemedel,ATC-koder
A16,A,A16,Övriga medel för matsmältning och ämnesomsättning,Läkemedel,ATC-koder
A16A,A16,A16A,Övriga medel för matsmältning och ämnesomsättning,Läkemedel,ATC-koder
A16AA,A16A,A16AA,Aminosyror och derivat,Läkemedel,ATC-koder
A16AA01,A16AA,A16AA01,Levokarnitin,Läkemedel,ATC-koder
A16AA02,A16AA,A16AA02,Ademetionin,Läkemedel,ATC-koder
A16AA04,A16AA,A16AA04,Merkaptamin,Läkemedel,ATC-koder
A16AA05,A16AA,A16AA05,Kargluminsyra,Läkemedel,ATC-koder
A16AA06,A16AA,A16AA06,Betain,Läkemedel,ATC-koder
A16AB,A16A,A16AB,Enzymer,Läkemedel,ATC-koder
A16AB02,A16AB,A16AB02,Imiglukeras,Läkemedel,ATC-koder
A16AB03,A16AB,A16AB03,Agalsidas alfa,Läkemedel,ATC-koder
A16AB04,A16AB,A16AB04,Agalsidas beta,Läkemedel,ATC-koder
A16AB05,A16AB,A16AB05,Laronidas,Läkemedel,ATC-koder
A16AB06,A16AB,A16AB06,Sakrosidas,Läkemedel,ATC-koder
A16AB07,A16AB,A16AB07,Alglukosidas alfa,Läkemedel,ATC-koder
A16AB09,A16AB,A16AB09,Idursulfas,Läkemedel,ATC-koder
A16AB10,A16AB,A16AB10,Velagluceras alfa,Läkemedel,ATC-koder
A16AX,A16A,A16AX,Övriga medel för matsmältning och ämnesomsättning,Läkemedel,ATC-koder
A16AX01,A16AX,A16AX01,Tioktinsyra,Läkemedel,ATC-koder
A16AX03,A16AX,A16AX03,Natriumfenylbutyrat,Läkemedel,ATC-koder
A16AX04,A16AX,A16AX04,Nitisinon,Läkemedel,ATC-koder
A16AX05,A16AX,A16AX05,Zinkacetat,Läkemedel,ATC-koder
A16AX06,A16AX,A16AX06,Miglustat,Läkemedel,ATC-koder
A16AX07,A16AX,A16AX07,Sapropterin,Läkemedel,ATC-koder
A16AX08,A16AX,A16AX08,Teduglutid,Läkemedel,ATC-koder
A16AX09,A16AX,A16AX09,Glycerolfenylbutyrat,Läkemedel,ATC-koder
A16AX14,A16AX,A16AX14,Migalastat,Läkemedel,ATC-koder
A16AX15,A16AX,A16AX15,Telotristat,Läkemedel,ATC-koder
A16Q,A16,A16Q,,Läkemedel,ATC-koder
A16QA,A16Q,A16QA,,Läkemedel,ATC-koder
A16QA01,A16QA,A16QA01,,Läkemedel,ATC-koder
B,0,B,Blod och blodbildande organ,Läkemedel,ATC-koder
B01,B,B01,Antikoagulantia,Läkemedel,ATC-koder
B01A,B01,B01A,Antikoagulantia,Läkemedel,ATC-koder
B01AA,B01A,B01AA,Vitamin K-antagonister,Läkemedel,ATC-koder
B01AA03,B01AA,B01AA03,Warfarin,Läkemedel,ATC-koder
B01AA04,B01AA,B01AA04,Fenprokumon,Läkemedel,ATC-koder
B01AA07,B01AA,B01AA07,Acenokumarol,Läkemedel,ATC-koder
B01AA12,B01AA,B01AA12,Fluindion,Läkemedel,ATC-koder
B01AB,B01A,B01AB,Heparingruppen,Läkemedel,ATC-koder
B01AB01,B01AB,B01AB01,Heparin,Läkemedel,ATC-koder
B01AB02,B01AB,B01AB02,Antitrombin III,Läkemedel,ATC-koder
B01AB04,B01AB,B01AB04,Dalteparin,Läkemedel,ATC-koder
B01AB05,B01AB,B01AB05,Enoxaparin,Läkemedel,ATC-koder
B01AB09,B01AB,B01AB09,Danaparoid,Läkemedel,ATC-koder
B01AB10,B01AB,B01AB10,Tinzaparin,Läkemedel,ATC-koder
B01AC,B01A,B01AC,"Trombocytaggregationshämmande medel, exkl. heparin",Läkemedel,ATC-koder
B01AC04,B01AC,B01AC04,Klopidogrel,Läkemedel,ATC-koder
B01AC05,B01AC,B01AC05,Tiklopidin,Läkemedel,ATC-koder
B01AC06,B01AC,B01AC06,Acetylsalicylsyra,Läkemedel,ATC-koder
B01AC07,B01AC,B01AC07,Dipyridamol,Läkemedel,ATC-koder
B01AC09,B01AC,B01AC09,Epoprostenol,Läkemedel,ATC-koder
B01AC11,B01AC,B01AC11,Iloprost,Läkemedel,ATC-koder
B01AC21,B01AC,B01AC21,Treprostinil,Läkemedel,ATC-koder
B01AC22,B01AC,B01AC22,Prasugrel,Läkemedel,ATC-koder
B01AC23,B01AC,B01AC23,Cilostazol,Läkemedel,ATC-koder
B01AC24,B01AC,B01AC24,Tikagrelor,Läkemedel,ATC-koder
B01AC27,B01AC,B01AC27,Selexipag,Läkemedel,ATC-koder
B01AC30,B01AC,B01AC30,Kombinationer,Läkemedel,ATC-koder
B01AD,B01A,B01AD,Enzymer,Läkemedel,ATC-koder
B01AD01,B01AD,B01AD01,Streptokinas,Läkemedel,ATC-koder
B01AD02,B01AD,B01AD02,Alteplas,Läkemedel,ATC-koder
B01AD10,B01AD,B01AD10,Drotrekogin alfa (aktiverat),Läkemedel,ATC-koder
B01AE,B01A,B01AE,Direkt trombinhämmande medel,Läkemedel,ATC-koder
B01AE02,B01AE,B01AE02,Lepirudin,Läkemedel,ATC-koder
B01AE03,B01AE,B01AE03,Argatroban,Läkemedel,ATC-koder
B01AE05,B01AE,B01AE05,Ximelagatran,Läkemedel,ATC-koder
B01AE07,B01AE,B01AE07,Dabigatranetexilat,Läkemedel,ATC-koder
B01AF,B01A,B01AF,Direktverkande faktor Xa-hämmare,Läkemedel,ATC-koder
B01AF01,B01AF,B01AF01,Rivaroxaban,Läkemedel,ATC-koder
B01AF02,B01AF,B01AF02,Apixaban,Läkemedel,ATC-koder
B01AF03,B01AF,B01AF03,Edoxaban,Läkemedel,ATC-koder
B01AX,B01A,B01AX,Övriga antitrombotiska medel,Läkemedel,ATC-koder
B01AX05,B01AX,B01AX05,Fondaparinux,Läkemedel,ATC-koder
B01AX07,B01AX,B01AX07,Kaplacizumab,Läkemedel,ATC-koder
B02,B,B02,Hemostatika,Läkemedel,ATC-koder
B02A,B02,B02A,Fibrinolyshämmande medel,Läkemedel,ATC-koder
B02AA,B02A,B02AA,Aminosyror,Läkemedel,ATC-koder
B02AA02,B02AA,B02AA02,Tranexamsyra,Läkemedel,ATC-koder
B02AB,B02A,B02AB,Proteinashämmande medel,Läkemedel,ATC-koder
B02AB01,B02AB,B02AB01,Aprotinin,Läkemedel,ATC-koder
B02AB02,B02AB,B02AB02,Alfa-1-antitrypsin,Läkemedel,ATC-koder
B02AB04,B02AB,B02AB04,Kamostat,Läkemedel,ATC-koder
B02B,B02,B02B,Vitamin K och andra koagulationsfaktorer,Läkemedel,ATC-koder
B02BA,B02B,B02BA,Vitamin K,Läkemedel,ATC-koder
B02BA01,B02BA,B02BA01,Fytomenadion,Läkemedel,ATC-koder
B02BB,B02B,B02BB,Fibrinogen,Läkemedel,ATC-koder
B02BB01,B02BB,B02BB01,"Fibrinogen, humant",Läkemedel,ATC-koder
B02BC,B02B,B02BC,Lokala hemostatika,Läkemedel,ATC-koder
B02BC30,B02BC,B02BC30,Kombinationer,Läkemedel,ATC-koder
B02BD,B02B,B02BD,Koagulationsfaktorer,Läkemedel,ATC-koder
B02BD01,B02BD,B02BD01,"Koagulationsfaktor IX, II, VII och X i kombination",Läkemedel,ATC-koder
B02BD02,B02BD,B02BD02,Koagulationsfaktor VIII,Läkemedel,ATC-koder
B02BD03,B02BD,B02BD03,Aktiverat protrombinkomplex mot faktor VIII-antikroppar,Läkemedel,ATC-koder
B02BD04,B02BD,B02BD04,Koagulationsfaktor IX,Läkemedel,ATC-koder
B02BD06,B02BD,B02BD06,von Willebrandfaktor och koagulationsfaktor VIII i kombination,Läkemedel,ATC-koder
B02BD07,B02BD,B02BD07,Koagulationsfaktor XIII,Läkemedel,ATC-koder
B02BD08,B02BD,B02BD08,Koagulationsfaktor VIIa,Läkemedel,ATC-koder
B02BD10,B02BD,B02BD10,von Willebrandfaktor,Läkemedel,ATC-koder
B02BX,B02B,B02BX,Övriga hemostatika för systemiskt bruk,Läkemedel,ATC-koder
B02BX04,B02BX,B02BX04,Romiplostim,Läkemedel,ATC-koder
B02BX05,B02BX,B02BX05,Eltrombopag,Läkemedel,ATC-koder
B02BX06,B02BX,B02BX06,Emicizumab,Läkemedel,ATC-koder
B03,B,B03,Medel vid anemier,Läkemedel,ATC-koder
B03A,B03,B03A,Medel vid järnbristanemier,Läkemedel,ATC-koder
B03AA,B03A,B03AA,"Tvåvärt järn, perorala preparat",Läkemedel,ATC-koder
B03AA01,B03AA,B03AA01,Järn(II)glycinsulfat,Läkemedel,ATC-koder
B03AA02,B03AA,B03AA02,Järn(II)fumarat,Läkemedel,ATC-koder
B03AA03,B03AA,B03AA03,Järn(II)glukonat,Läkemedel,ATC-koder
B03AA06,B03AA,B03AA06,Ferrosuccinat,Läkemedel,ATC-koder
B03AA07,B03AA,B03AA07,Ferrosulfat,Läkemedel,ATC-koder
B03AB,B03A,B03AB,"Trevärt järn, perorala preparat",Läkemedel,ATC-koder
B03AB09,B03AB,B03AB09,Järn(III)proteinsuccinylat,Läkemedel,ATC-koder
B03AB10,B03AB,B03AB10,Järn(III)maltol,Läkemedel,ATC-koder
B03AC,B03A,B03AC,"Järn, parenterala preparat",Läkemedel,ATC-koder
B03AE,B03A,B03AE,"Järn, övriga kombinationer",Läkemedel,ATC-koder
B03AE10,B03AE,B03AE10,Övriga kombinationer,Läkemedel,ATC-koder
B03B,B03,B03B,Vitamin B12 och folsyra,Läkemedel,ATC-koder
B03BA,B03B,B03BA,Vitamin B12 (cyanokobalamin och analoger),Läkemedel,ATC-koder
B03BA01,B03BA,B03BA01,Cyanokobalamin,Läkemedel,ATC-koder
B03BA02,B03BA,B03BA02,Cyanokobalamin-tanninkomplex,Läkemedel,ATC-koder
B03BA03,B03BA,B03BA03,Hydroxokobalamin,Läkemedel,ATC-koder
B03BB,B03B,B03BB,Folsyra och derivat,Läkemedel,ATC-koder
B03BB01,B03BB,B03BB01,Folsyra,Läkemedel,ATC-koder
B03X,B03,B03X,Övriga medel vid anemier,Läkemedel,ATC-koder
B03XA,B03X,B03XA,Övriga medel vid anemier,Läkemedel,ATC-koder
B03XA01,B03XA,B03XA01,Erytropoietin,Läkemedel,ATC-koder
B03XA02,B03XA,B03XA02,Darbepoetin alfa,Läkemedel,ATC-koder
B03XA03,B03XA,B03XA03,Metoxi-polyetylenglykol-epoetin beta,Läkemedel,ATC-koder
B05,B,B05,Blodersättning och infusionsvätskor,Läkemedel,ATC-koder
B05A,B05,B05A,Blod och relaterade produkter,Läkemedel,ATC-koder
B05AA,B05A,B05AA,Blodersättning och plasmaproteiner,Läkemedel,ATC-koder
B05AA01,B05AA,B05AA01,Albumin,Läkemedel,ATC-koder
B05AA05,B05AA,B05AA05,Dextran,Läkemedel,ATC-koder
B05AA06,B05AA,B05AA06,Gelatinpreparat,Läkemedel,ATC-koder
B05AA07,B05AA,B05AA07,Polyhydroxietylstärkelse,Läkemedel,ATC-koder
B05B,B05,B05B,Infusionsvätskor,Läkemedel,ATC-koder
B05BA,B05B,B05BA,Lösningar för parenteral nutrition,Läkemedel,ATC-koder
B05BA01,B05BA,B05BA01,Aminosyror,Läkemedel,ATC-koder
B05BA02,B05BA,B05BA02,Fettemulsioner,Läkemedel,ATC-koder
B05BA03,B05BA,B05BA03,Kolhydrater,Läkemedel,ATC-koder
B05BA10,B05BA,B05BA10,Kombinationer,Läkemedel,ATC-koder
B05BB,B05B,B05BB,Lösningar som påverkar elektrolytbalansen,Läkemedel,ATC-koder
B05BB01,B05BB,B05BB01,Elektrolyter,Läkemedel,ATC-koder
B05BB02,B05BB,B05BB02,Elektrolyter och kolhydrater,Läkemedel,ATC-koder
B05BB03,B05BB,B05BB03,Trometamol,Läkemedel,ATC-koder
B05BC,B05B,B05BC,Lösningar som framkallar osmotisk diures,Läkemedel,ATC-koder
B05BC01,B05BC,B05BC01,Mannitol,Läkemedel,ATC-koder
B05BC02,B05BC,B05BC02,Karbamid,Läkemedel,ATC-koder
B05C,B05,B05C,Spolvätskor,Läkemedel,ATC-koder
B05CB,B05C,B05CB,Saltlösningar,Läkemedel,ATC-koder
B05CB01,B05CB,B05CB01,Natriumklorid,Läkemedel,ATC-koder
B05CB10,B05CB,B05CB10,Kombinationer,Läkemedel,ATC-koder
B05CX,B05C,B05CX,Övriga spolvätskor,Läkemedel,ATC-koder
B05CX10,B05CX,B05CX10,Kombinationer,Läkemedel,ATC-koder
B05D,B05,B05D,Peritonealdialysvätskor,Läkemedel,ATC-koder
B05DA,B05D,B05DA,Isotona lösningar,Läkemedel,ATC-koder
B05DB,B05D,B05DB,Hypertona lösningar,Läkemedel,ATC-koder
B05X,B05,B05X,Infusionskoncentrat,Läkemedel,ATC-koder
B05XA,B05X,B05XA,Elektrolytlösningar,Läkemedel,ATC-koder
B05XA01,B05XA,B05XA01,Kaliumklorid,Läkemedel,ATC-koder
B05XA03,B05XA,B05XA03,Natriumklorid,Läkemedel,ATC-koder
B05XA04,B05XA,B05XA04,Ammoniumklorid,Läkemedel,ATC-koder
B05XA05,B05XA,B05XA05,Magnesiumsulfat,Läkemedel,ATC-koder
B05XA06,B05XA,B05XA06,"Kaliumfosfat, inkl. kombinationer med andra kaliumsalt",Läkemedel,ATC-koder
B05XA07,B05XA,B05XA07,Kalciumklorid,Läkemedel,ATC-koder
B05XA14,B05XA,B05XA14,Natriumglycerofosfat,Läkemedel,ATC-koder
B05XA31,B05XA,B05XA31,Elektrolyter i kombination med andra medel,Läkemedel,ATC-koder
B05XB,B05X,B05XB,Aminosyror,Läkemedel,ATC-koder
B05XB01,B05XB,B05XB01,Argininhydroklorid,Läkemedel,ATC-koder
B05XB02,B05XB,B05XB02,Alanylglutamin,Läkemedel,ATC-koder
B05XC,B05X,B05XC,Vitaminer,Läkemedel,ATC-koder
B05Z,B05,B05Z,Hemodialysvätskor och hemofiltrationsvätskor,Läkemedel,ATC-koder
B05ZB,B05Z,B05ZB,Hemofiltrationsvätskor,Läkemedel,ATC-koder
B06,B,B06,Övriga hematologiska medel,Läkemedel,ATC-koder
B06A,B06,B06A,Övriga hematologiska medel,Läkemedel,ATC-koder
B06AA,B06A,B06AA,Enzymer,Läkemedel,ATC-koder
B06AA03,B06AA,B06AA03,Hyaluronidas,Läkemedel,ATC-koder
B06AA55,B06AA,B06AA55,"Streptokinas, kombinationer",Läkemedel,ATC-koder
B06AB,B06A,B06AB,Övriga hematologiska medel,Läkemedel,ATC-koder
B06AB01,B06AB,B06AB01,Hematin,Läkemedel,ATC-koder
B06AC,B06A,B06AC,Medel använda vid ärftligt angioödem,Läkemedel,ATC-koder
B06AC01,B06AC,B06AC01,"c1-hämmare, plasmaderiverad",Läkemedel,ATC-koder
B06AC02,B06AC,B06AC02,Ikatibant,Läkemedel,ATC-koder
B06AC04,B06AC,B06AC04,Konestat alfa,Läkemedel,ATC-koder
C,0,C,Hjärta och kretslopp,Läkemedel,ATC-koder
C01,C,C01,Medel vid hjärtsjukdomar,Läkemedel,ATC-koder
C01A,C01,C01A,Hjärtglykosider,Läkemedel,ATC-koder
C01AA,C01A,C01AA,Digitalisglykosider,Läkemedel,ATC-koder
C01AA04,C01AA,C01AA04,Digitoxin,Läkemedel,ATC-koder
C01AA05,C01AA,C01AA05,Digoxin,Läkemedel,ATC-koder
C01B,C01,C01B,"Antiarytmika, klass I och III",Läkemedel,ATC-koder
C01BA,C01B,C01BA,Antiarytmika klass IA,Läkemedel,ATC-koder
C01BA01,C01BA,C01BA01,Kinidin,Läkemedel,ATC-koder
C01BA03,C01BA,C01BA03,Disopyramid,Läkemedel,ATC-koder
C01BB,C01B,C01BB,Antiarytmika klass IB,Läkemedel,ATC-koder
C01BB01,C01BB,C01BB01,Lidokain,Läkemedel,ATC-koder
C01BB02,C01BB,C01BB02,Mexiletin,Läkemedel,ATC-koder
C01BC,C01B,C01BC,Antiarytmika klass IC,Läkemedel,ATC-koder
C01BC03,C01BC,C01BC03,Propafenon,Läkemedel,ATC-koder
C01BC04,C01BC,C01BC04,Flekainid,Läkemedel,ATC-koder
C01BD,C01B,C01BD,Antiarytmika klass III,Läkemedel,ATC-koder
C01BD01,C01BD,C01BD01,Amiodaron,Läkemedel,ATC-koder
C01BD05,C01BD,C01BD05,Ibutilid,Läkemedel,ATC-koder
C01BD07,C01BD,C01BD07,Dronedaron,Läkemedel,ATC-koder
C01C,C01,C01C,Hjärtstimulerande medel exkl. hjärtglykosider,Läkemedel,ATC-koder
C01CA,C01C,C01CA,Adrenerga och dopaminerga medel,Läkemedel,ATC-koder
C01CA01,C01CA,C01CA01,Etilefrin,Läkemedel,ATC-koder
C01CA02,C01CA,C01CA02,Isoprenalin,Läkemedel,ATC-koder
C01CA03,C01CA,C01CA03,Noradrenalin,Läkemedel,ATC-koder
C01CA06,C01CA,C01CA06,Fenylefrin,Läkemedel,ATC-koder
C01CA07,C01CA,C01CA07,Dobutamin,Läkemedel,ATC-koder
C01CA17,C01CA,C01CA17,Midodrin,Läkemedel,ATC-koder
C01CA24,C01CA,C01CA24,Adrenalin,Läkemedel,ATC-koder
C01CX,C01C,C01CX,Övriga hjärtstimulerande medel,Läkemedel,ATC-koder
C01CX08,C01CX,C01CX08,Levosimendan,Läkemedel,ATC-koder
C01D,C01,C01D,Kärlvidgande medel vid hjärtsjukdomar,Läkemedel,ATC-koder
C01DA,C01D,C01DA,Organiska nitrater,Läkemedel,ATC-koder
C01DA02,C01DA,C01DA02,Glyceryltrinitrat,Läkemedel,ATC-koder
C01DA08,C01DA,C01DA08,Isosorbiddinitrat,Läkemedel,ATC-koder
C01DA14,C01DA,C01DA14,Isosorbidmononitrat,Läkemedel,ATC-koder
C01DX,C01D,C01DX,Övriga kärlvidgande medel vid hjärtsjukdomar,Läkemedel,ATC-koder
C01DX12,C01DX,C01DX12,Molsidomin,Läkemedel,ATC-koder
C01DX16,C01DX,C01DX16,Nikorandil,Läkemedel,ATC-koder
C01E,C01,C01E,Övriga medel vid hjärtsjukdomar,Läkemedel,ATC-koder
C01EA,C01E,C01EA,Prostaglandiner,Läkemedel,ATC-koder
C01EA01,C01EA,C01EA01,Alprostadil,Läkemedel,ATC-koder
C01EB,C01E,C01EB,Övriga medel vid hjärtsjukdomar,Läkemedel,ATC-koder
C01EB09,C01EB,C01EB09,Ubidekarenon,Läkemedel,ATC-koder
C01EB10,C01EB,C01EB10,Adenosin,Läkemedel,ATC-koder
C01EB15,C01EB,C01EB15,Trimetazidin,Läkemedel,ATC-koder
C01EB17,C01EB,C01EB17,Ivabradin,Läkemedel,ATC-koder
C02,C,C02,Antihypertensiva medel,Läkemedel,ATC-koder
C02A,C02,C02A,Antiadrenerga preparat med central verkan,Läkemedel,ATC-koder
C02AB,C02A,C02AB,Metyldopa,Läkemedel,ATC-koder
C02AB01,C02AB,C02AB01,Metyldopa (L-form),Läkemedel,ATC-koder
C02AC,C02A,C02AC,Imidazolinreceptoragonister,Läkemedel,ATC-koder
C02AC01,C02AC,C02AC01,Klonidin,Läkemedel,ATC-koder
C02AC02,C02AC,C02AC02,Guanfacin,Läkemedel,ATC-koder
C02AC05,C02AC,C02AC05,Moxonidin,Läkemedel,ATC-koder
C02C,C02,C02C,Antiadrenerga preparat med perifer verkan,Läkemedel,ATC-koder
C02CA,C02C,C02CA,Alfa-adrenoreceptorantagonister,Läkemedel,ATC-koder
C02CA01,C02CA,C02CA01,Prazosin,Läkemedel,ATC-koder
C02CA04,C02CA,C02CA04,Doxazosin,Läkemedel,ATC-koder
C02CA06,C02CA,C02CA06,Urapidil,Läkemedel,ATC-koder
C02D,C02,C02D,Medel som påverkar glatt muskulatur i perifera kärl,Läkemedel,ATC-koder
C02DB,C02D,C02DB,Hydrazinoftalazinderivat,Läkemedel,ATC-koder
C02DB02,C02DB,C02DB02,Hydralazin,Läkemedel,ATC-koder
C02DC,C02D,C02DC,Pyrimidinderivat,Läkemedel,ATC-koder
C02DC01,C02DC,C02DC01,Minoxidil,Läkemedel,ATC-koder
C02K,C02,C02K,Övriga antihypertensiva medel,Läkemedel,ATC-koder
C02KD,C02K,C02KD,Serotoninantagonister,Läkemedel,ATC-koder
C02KD01,C02KD,C02KD01,Ketanserin,Läkemedel,ATC-koder
C02KX,C02K,C02KX,Antihypertensiva medel för pulmonell arteriell hypertension,Läkemedel,ATC-koder
C02KX01,C02KX,C02KX01,Bosentan,Läkemedel,ATC-koder
C02KX02,C02KX,C02KX02,Ambrisentan,Läkemedel,ATC-koder
C02KX03,C02KX,C02KX03,Sitaxentan,Läkemedel,ATC-koder
C02KX04,C02KX,C02KX04,Macitentan,Läkemedel,ATC-koder
C02KX05,C02KX,C02KX05,Riociguat,Läkemedel,ATC-koder
C03,C,C03,Diuretika,Läkemedel,ATC-koder
C03A,C03,C03A,Tiazider,Läkemedel,ATC-koder
C03AA,C03A,C03AA,Tiazider,Läkemedel,ATC-koder
C03AA01,C03AA,C03AA01,Bendroflumetiazid,Läkemedel,ATC-koder
C03AA03,C03AA,C03AA03,Hydroklortiazid,Läkemedel,ATC-koder
C03AA04,C03AA,C03AA04,Klortiazid,Läkemedel,ATC-koder
C03AB,C03A,C03AB,Tiazider i kombination med kalium,Läkemedel,ATC-koder
C03AB01,C03AB,C03AB01,Bendroflumetiazid och kalium,Läkemedel,ATC-koder
C03B,C03,C03B,Tiazidbesläktade diuretika,Läkemedel,ATC-koder
C03BA,C03B,C03BA,Sulfonamidderivat,Läkemedel,ATC-koder
C03BA04,C03BA,C03BA04,Klortalidon,Läkemedel,ATC-koder
C03BA08,C03BA,C03BA08,Metolazon,Läkemedel,ATC-koder
C03BA11,C03BA,C03BA11,Indapamid,Läkemedel,ATC-koder
C03C,C03,C03C,Loop-diuretika,Läkemedel,ATC-koder
C03CA,C03C,C03CA,Sulfonamider,Läkemedel,ATC-koder
C03CA01,C03CA,C03CA01,Furosemid,Läkemedel,ATC-koder
C03CA02,C03CA,C03CA02,Bumetanid,Läkemedel,ATC-koder
C03CA04,C03CA,C03CA04,Torasemid,Läkemedel,ATC-koder
C03CC,C03C,C03CC,Fenoxiättiksyraderivat,Läkemedel,ATC-koder
C03CC01,C03CC,C03CC01,Etakrynsyra,Läkemedel,ATC-koder
C03D,C03,C03D,Kaliumsparande diuretika,Läkemedel,ATC-koder
C03DA,C03D,C03DA,Aldosteronantagonister,Läkemedel,ATC-koder
C03DA01,C03DA,C03DA01,Spironolakton,Läkemedel,ATC-koder
C03DA04,C03DA,C03DA04,Eplerenon,Läkemedel,ATC-koder
C03DB,C03D,C03DB,Övriga kaliumsparande medel,Läkemedel,ATC-koder
C03DB01,C03DB,C03DB01,Amilorid,Läkemedel,ATC-koder
C03DB02,C03DB,C03DB02,Triamteren,Läkemedel,ATC-koder
C03E,C03,C03E,Diuretika i kombination med kaliumsparande medel,Läkemedel,ATC-koder
C03EA,C03E,C03EA,Tiazidbesläktad diuretika och kaliumsparande medel,Läkemedel,ATC-koder
C03EA01,C03EA,C03EA01,Hydroklortiazid och kaliumsparande medel,Läkemedel,ATC-koder
C03X,C03,C03X,Övriga diuretika,Läkemedel,ATC-koder
C03XA,C03X,C03XA,Vasopressinantagonister,Läkemedel,ATC-koder
C03XA01,C03XA,C03XA01,Tolvaptan,Läkemedel,ATC-koder
C04,C,C04,Perifera vasodilatorer,Läkemedel,ATC-koder
C04A,C04,C04A,Perifera vasodilatorer,Läkemedel,ATC-koder
C04AB,C04A,C04AB,Imidazolinderivat,Läkemedel,ATC-koder
C04AB01,C04AB,C04AB01,Fentolamin,Läkemedel,ATC-koder
C04AD,C04A,C04AD,Purinderivat,Läkemedel,ATC-koder
C04AD03,C04AD,C04AD03,Pentoxifyllin,Läkemedel,ATC-koder
C04AE,C04A,C04AE,Mjöldrygealkaloider,Läkemedel,ATC-koder
C04AE01,C04AE,C04AE01,Ergoloidmesylat,Läkemedel,ATC-koder
C04AX,C04A,C04AX,Övriga perifera vasodilatorer,Läkemedel,ATC-koder
C04AX02,C04AX,C04AX02,Fenoxybensamin,Läkemedel,ATC-koder
C04AX21,C04AX,C04AX21,Naftidrofuryl,Läkemedel,ATC-koder
C05,C,C05,Kärlskyddande medel,Läkemedel,ATC-koder
C05A,C05,C05A,Utvärtes medel vid hemorrojder och analfissurer,Läkemedel,ATC-koder
C05AA,C05A,C05AA,Kortikosteroider,Läkemedel,ATC-koder
C05AA01,C05AA,C05AA01,Hydrokortison,Läkemedel,ATC-koder
C05AA04,C05AA,C05AA04,Prednisolon,Läkemedel,ATC-koder
C05AA08,C05AA,C05AA08,Fluokortolon,Läkemedel,ATC-koder
C05AD,C05A,C05AD,Lokalanestetika,Läkemedel,ATC-koder
C05AE,C05A,C05AE,Muskelavslappande medel,Läkemedel,ATC-koder
C05AE01,C05AE,C05AE01,Glyceryltrinitrat,Läkemedel,ATC-koder
C05AX,C05A,C05AX,Övriga utvärtes medel vid hemorrojder och analfissurer,Läkemedel,ATC-koder
C05AX03,C05AX,C05AX03,"Övriga medel, kombinationer",Läkemedel,ATC-koder
C05B,C05,C05B,Medel för varixbehandling,Läkemedel,ATC-koder
C05BA,C05B,C05BA,Heparin eller heparinoida substanser för utvärtes bruk,Läkemedel,ATC-koder
C05BA01,C05BA,C05BA01,Organiska heparinföreningar,Läkemedel,ATC-koder
C05BA04,C05BA,C05BA04,Pentosanpolysulfatnatrium,Läkemedel,ATC-koder
C05BB,C05B,C05BB,Medel för sklerosering för lokal injektion,Läkemedel,ATC-koder
C05BB02,C05BB,C05BB02,Polidokanol,Läkemedel,ATC-koder
C05BB04,C05BB,C05BB04,Natriumtetradecylsulfat,Läkemedel,ATC-koder
C05C,C05,C05C,Kapillärstabiliserande medel,Läkemedel,ATC-koder
C05CA,C05C,C05CA,Bioflavonoider,Läkemedel,ATC-koder
C05CA01,C05CA,C05CA01,Rutosid,Läkemedel,ATC-koder
C05CA03,C05CA,C05CA03,Diosmin,Läkemedel,ATC-koder
C05CA04,C05CA,C05CA04,Troxerutin,Läkemedel,ATC-koder
C05CA53,C05CA,C05CA53,"Diosmin, kombinationer",Läkemedel,ATC-koder
C07,C,C07,Beta-receptorblockerande medel,Läkemedel,ATC-koder
C07A,C07,C07A,Beta-receptorblockerande medel,Läkemedel,ATC-koder
C07AA,C07A,C07AA,"Beta-receptorblockerande medel, icke-selektiva",Läkemedel,ATC-koder
C07AA02,C07AA,C07AA02,Oxprenolol,Läkemedel,ATC-koder
C07AA03,C07AA,C07AA03,Pindolol,Läkemedel,ATC-koder
C07AA05,C07AA,C07AA05,Propranolol,Läkemedel,ATC-koder
C07AA06,C07AA,C07AA06,Timolol,Läkemedel,ATC-koder
C07AA07,C07AA,C07AA07,Sotalol,Läkemedel,ATC-koder
C07AA12,C07AA,C07AA12,Nadolol,Läkemedel,ATC-koder
