operation,grp,code,name
ECB50,ECB,ECB50,Alveolarutskottsplastik med bentransplantat eller alloplastiskt material
ECB60,ECB,ECB60,Rekonstruktion av alveolarutskott
ECB99,ECB,ECB99,Annan rekonstruktion av gingiva eller alveolarutskott
ECU,EC,ECU,Avlägsnande av implantat och externt fixationsmaterial från alveolarutskott
ECU00,ECU,ECU00,Avlägsnande av implantat eller externt fixationsmaterial från alveolarutskott
ECW,EC,ECW,Andra operationer på tandkött och alveolarutskott
ECW99,ECW,ECW99,Annan operation på gingiva eller alveolarutskott
ED,E,ED,Operationer på underkäken
EDA,ED,EDA,Incisioner i och biopsier av underkäken
EDA00,EDA,EDA00,Incision i underkäke
EDA10,EDA,EDA10,Biopsi av underkäke
EDB,ED,EDB,Resektioner av underkäken
EDB00,EDB,EDB00,Resektion av underkäke
EDB10,EDB,EDB10,Exstirpation av underkäke
EDB20,EDB,EDB20,Hemimandibulektomi
EDB30,EDB,EDB30,Koronoidektomi
EDB99,EDB,EDB99,Annan resektion av underkäke
EDC,ED,EDC,Rekonstruktiva ingrepp på underkäken
EDC00,EDC,EDC00,Kondylotomi
EDC05,EDC,EDC05,Segmentosteotomi på underkäke
EDC10,EDC,EDC10,Sagittal ramusosteotomi på underkäke
EDC15,EDC,EDC15,Vertikal ramusosteotomi på underkäke
EDC20,EDC,EDC20,Övriga ramusosteotomier på underkäke
EDC25,EDC,EDC25,Korpusosteotomi eller -ektomi av underkäke
EDC30,EDC,EDC30,Genioplastik
EDC32,EDC,EDC32,Sluten reposition och immobilisation av kollum- eller kaputfraktur på underkäke
EDC34,EDC,EDC34,Sluten reposition och immobilisation av korpusfraktur på underkäke
EDC35,EDC,EDC35,Sluten reposition och immobilisation av underkäksfraktur
EDC36,EDC,EDC36,Öppen reposition och intern fixation av kollum- eller kaputfraktur på underkäke
EDC38,EDC,EDC38,Öppen reposition och fixation av korpusfraktur på underkäke
EDC40,EDC,EDC40,Öppen reposition och osteosyntes av underkäksfraktur
EDC42,EDC,EDC42,Rekonstruktion av underkäke med implantat
EDC45,EDC,EDC45,Rekonstruktion av underkäke med bentransplantat
EDC99,EDC,EDC99,Annat rekonstruktivt ingrepp på underkäke
EDU,ED,EDU,Avlägsnande av implantat och externt fixationsmaterial från underkäken
EDU00,EDU,EDU00,Avlägsnande av implantat eller externt fixationsmaterial från underkäke
EDW,ED,EDW,Andra operationer på underkäken
EDW99,EDW,EDW99,Annan operation på underkäke
EE,E,EE,Operationer på överkäken
EEA,EE,EEA,Incisioner i och biopsier av överkäken
EEA00,EEA,EEA00,Incision i överkäke
EEA10,EEA,EEA10,Biopsi av överkäke
EEB,EE,EEB,Resektioner och exstirpationer av överkäken
EEB00,EEB,EEB00,Resektion av överkäke
EEB10,EEB,EEB10,Exstirpation av överkäke
EEB20,EEB,EEB20,Hemimaxillektomi
EEB99,EEB,EEB99,Annan resektion av överkäke
EEC,EE,EEC,Rekonstruktiva ingrepp på överkäken
EEC00,EEC,EEC00,Segmentosteotomi i överkäke
EEC05,EEC,EEC05,Le Fort I-osteotomi
EEC10,EEC,EEC10,Le Fort II-osteotomi
EEC15,EEC,EEC15,Le Fort III-osteotomi
EEC20,EEC,EEC20,Sluten reposition och immobilisation av överkäksfraktur
EEC25,EEC,EEC25,Öppen reposition och osteosyntes av överkäksfraktur
EEC30,EEC,EEC30,Reposition av zygomatico-maxilla-fraktur
EEC35,EEC,EEC35,Reposition och osteosyntes av zygomatico-maxilla-fraktur
EEC40,EEC,EEC40,Anläggande av sträck på överkäke
EEC42,EEC,EEC42,Rekonstruktion av överkäke med implantat
EEC45,EEC,EEC45,Rekonstruktion av överkäke med bentransplantat
EEC99,EEC,EEC99,Annat rekonstruktivt ingrepp på överkäke
EEU,EE,EEU,Avlägsnande av implantat och externt fixationsmaterial från överkäken
EEU00,EEU,EEU00,Avlägsnande av implantat eller externt fixationsmaterial från överkäke
EEW,EE,EEW,Andra operationer på överkäken
EEW99,EEW,EEW99,Annan operation på överkäke
EF,E,EF,Diverse operationer på käkar
EFA,EF,EFA,Resektioner och exstirpationer av lokal förändring i käkar
EFA10,EFA,EFA10,Exstirpation av tumör i käke
EFA20,EFA,EFA20,Dekortikation av käke
EFA40,EFA,EFA40,Fenestration av käkcysta
EFA50,EFA,EFA50,Exstirpation av käkcysta
EFA99,EFA,EFA99,Annan resektion av käke
EFB,EF,EFB,Rekonstruktiva operationer på käkar
EFB10,EFB,EFB10,Benplastik på käke
EFB20,EFB,EFB20,Behandling av multipla ansiktsfrakturer
EFB30,EFB,EFB30,Extern fixation vid behandling av ansiktsfraktur
EFB40,EFB,EFB40,Exstirpation av osteosyntes- eller fixationsmaterial
EFB50,EFB,EFB50,Ortodontisk åtgärd i samband med ortognatisk kirurgi
EFB60,EFB,EFB60,Plastik av käkben eller ansiktsben med hjälp av bentransplantat eller alloplastiskt material
EFB99,EFB,EFB99,Annan rekonstruktion av käke
EFU,EF,EFU,Avlägsnande av implantat och externt fixationsmaterial från käkar
EFU00,EFU,EFU00,Avlägsnande av implantat eller externt fixationsmaterial från käke
EFW,EF,EFW,Andra operationer på käkar
EFW99,EFW,EFW99,Annan operation på käke
EG,E,EG,Operationer på käkleder
EGA,EG,EGA,"Incisioner i, endoskopier, biopsier av käkleder"
EGA00,EGA,EGA00,Käkledsartroskopi
EGA10,EGA,EGA10,Incision i käkled
EGA20,EGA,EGA20,Biopsi av käkled
EGB,EG,EGB,Resektioner av käkleder
EGB00,EGB,EGB00,Kondylektomi av käkled
EGB10,EGB,EGB10,Diskoperation på käkled
EGB20,EGB,EGB20,Synovektomi av käkled
EGB99,EGB,EGB99,Annan resektion av käkled
EGC,EG,EGC,Rekonstruktiva ingrepp på käkleder
EGC00,EGC,EGC00,Öppen reposition av käkledsluxation
EGC10,EGC,EGC10,Plastikoperation av käkled
EGC20,EGC,EGC20,Plastikoperation av käkled med ben- eller annat transplantat
EGC30,EGC,EGC30,Protesoperation av käkled
EGC99,EGC,EGC99,Annan rekonstruktion av käkled
EGU,EG,EGU,Avlägsnande av implantat och externt fixationsmaterial från käkleder
EGU00,EGU,EGU00,Avlägsnande av implantat eller externt fixationsmaterial från käkled
EGW,EG,EGW,Andra operationer på käkleder
EGW99,EGW,EGW99,Annan operation på käkled
EH,E,EH,Operationer på gommen
EHA,EH,EHA,Incisioner i och biopsier av gommen
EHA00,EHA,EHA00,Incision av gom
EHA10,EHA,EHA10,Biopsi av gom
EHB,EH,EHB,Resektioner av gommen
EHB00,EHB,EHB00,Excision av lokal förändring i gom
EHB99,EHB,EHB99,Annan resektion av gom
EHC,EH,EHC,Rekonstruktiva ingrepp på gommen
EHC00,EHC,EHC00,Sutur av gom
EHC10,EHC,EHC10,Plastikoperation vid oronasal eller oroantral fistel i gom
EHC20,EHC,EHC20,Sårrevision av gom
EHC30,EHC,EHC30,Plastikoperation vid gomspalt
EHC31,EHC,EHC31,Främre partiell rekonstruktion av gom
EHC32,EHC,EHC32,Bakre partiell rekonstruktion av gom
EHC40,EHC,EHC40,Plastikoperation vid dold gomspalt
EHC45,EHC,EHC45,Sekundär rekonstruktion av gom vid gomspalt
EHC50,EHC,EHC50,Rekonstruktion med farynxlambå vid gomspalt
EHC60,EHC,EHC60,Rekonstruktion vid kombinerad läpp- och gomspalt
EHC99,EHC,EHC99,Annan rekonstruktion av gom
EHU,EH,EHU,Avlägsnande av implantat och externt fixationsmaterial från gommen
EHU00,EHU,EHU00,Avlägsnande av implantat eller externt fixationsmaterial från gom
EHW,EH,EHW,Andra operationer på gommen
EHW99,EHW,EHW99,Annan operation på gom
EJ,E,EJ,Operationer på tungan och munbottnen
EJA,EJ,EJA,Incisioner i och biopsier av tungan och munbottnen
EJA00,EJA,EJA00,Incision i tunga eller munbotten
EJA10,EJA,EJA10,Biopsi av tunga eller munbotten
EJA20,EJA,EJA20,Avlägsnande av främmande kropp från tunga eller munbotten
EJB,EJ,EJB,Resektioner och exstirpationer av tungan och munbottnen
EJB00,EJB,EJB00,Exstirpation av ranula
EJB10,EJB,EJB10,Exstirpation av tungtumör
EJB20,EJB,EJB20,Exstirpation av tungbastumör
EJB30,EJB,EJB30,Exstirpation av munbottentumör
EJB40,EJB,EJB40,Hemiglossektomi
EJB50,EJB,EJB50,Glossektomi
EJB60,EJB,EJB60,Resektion av munbotten
EJB99,EJB,EJB99,Annan resektion av tunga eller munbotten
EJC,EJ,EJC,Rekonstruktiva ingrepp på tungan och munbottnen
EJC00,EJC,EJC00,Sutur av tunga eller munbotten
EJC20,EJC,EJC20,Tungbandsplastik
EJC30,EJC,EJC30,Tungplastik
EJC40,EJC,EJC40,Glossopexi
EJC50,EJC,EJC50,Reducerande glossoplastik
EJC99,EJC,EJC99,Annan rekonstruktion av tunga eller munbotten
EJW,EJ,EJW,Andra operationer på tungan och munbottnen
EJW99,EJW,EJW99,Annan operation på tunga eller munbotten
EK,E,EK,Operationer på kinder
EKA,EK,EKA,Incisioner i och biopsier av kinder
EKA00,EKA,EKA00,Incision i kind
EKA10,EKA,EKA10,Biopsi av kind
EKB,EK,EKB,Resektioner av kinder
EKB00,EKB,EKB00,Exstirpation av lokal förändring i kind
EKB99,EKB,EKB99,Annan resektion av kind
EKC,EK,EKC,Rekonstruktiva operationer på kinder
EKC00,EKC,EKC00,Sutur av kind
EKC10,EKC,EKC10,Avlägsnande av främmande kropp från kind
EKC20,EKC,EKC20,Plastikoperation av kind
EKC30,EKC,EKC30,Rekonstruktion av kind
EKC99,EKC,EKC99,Annat rekonstruktivt ingrepp på kind
EKW,EK,EKW,Andra operationer på kinder
EKW99,EKW,EKW99,Annan operation på kind
EL,E,EL,Operationer på spottkörtlar
ELA,EL,ELA,Incisioner i och biopsier av spottkörtlar
ELA00,ELA,ELA00,Incision i spottkörtel
ELA10,ELA,ELA10,Sialodokotomi
ELA20,ELA,ELA20,Sialolitotomi
ELA30,ELA,ELA30,Biopsi av spottkörtel
ELB,EL,ELB,Resektioner och exstirpationer av spottkörtlar
ELB00,ELB,ELB00,Exstirpation eller exploration av lokal förändring i spottkörtel
ELB10,ELB,ELB10,Exstirpation av glandula salivaria minor
ELB20,ELB,ELB20,Exstirpation av glandula sublingualis
ELB30,ELB,ELB30,Exstirpation av glandula submandibularis
ELB40,ELB,ELB40,Resektion av glandula parotis
ELB50,ELB,ELB50,Exstirpation av glandula parotis
ELB99,ELB,ELB99,Annan resektion eller excision av spottkörtel
ELC,EL,ELC,Rekonstruktiva ingrepp på spottkörtlar
ELC00,ELC,ELC00,Sutur av spottkörtel
ELC30,ELC,ELC30,Ligatur av spottkörtelgång
ELC40,ELC,ELC40,Rekonstruktion av spottkörtelgång
ELC50,ELC,ELC50,Translokation av spottkörtelgång
ELC60,ELC,ELC60,Fisteloperation på spottkörtel
ELC99,ELC,ELC99,Annan rekonstruktion av spottkörtel
ELW,EL,ELW,Andra operationer på spottkörtlar
ELW99,ELW,ELW99,Annan operation på spottkörtel
EM,E,EM,Operationer på tonsiller och adenoider
EMA,EM,EMA,Incisioner i och biopsier av tonsiller och adenoider
EMA00,EMA,EMA00,Incision i tonsill
EMA10,EMA,EMA10,Biopsi av tonsill
EMA20,EMA,EMA20,Incision i adenoid
EMA30,EMA,EMA30,Biopsi av nasofarynx
EMB,EM,EMB,Resektioner och exstirpationer av tonsiller och adenoider
EMB00,EMB,EMB00,Exstirpation av tumör i tonsill eller adenoid
EMB10,EMB,EMB10,Tonsillektomi
EMB15,EMB,EMB15,Intrakapsulär destruktion av tonsill
EMB20,EMB,EMB20,Adenotonsillektomi
EMB30,EMB,EMB30,Adenoidektomi
EMB99,EMB,EMB99,Annan resektion eller excision av tonsill eller adenoid
EMC,EM,EMC,Rekonstruktiva ingrepp på tonsiller och adenoider
EMC00,EMC,EMC00,Sutur av tonsill eller adenoid
EMC10,EMC,EMC10,Avlägsnande av främmande kropp från tonsill eller adenoid
EMC99,EMC,EMC99,Annat rekonstruktivt ingrepp på tonsill eller adenoid
EMW,EM,EMW,Andra operationer på tonsiller och adenoider
EMW99,EMW,EMW99,Annan operation på tonsill eller adenoid
EN,E,EN,Operationer på svalget och närliggande mjukdelar
ENA,EN,ENA,Incisioner i och biopsier av svalget och närliggande mjukdelar
ENA00,ENA,ENA00,Incision i farynx eller närliggande mjukdelar
ENA10,ENA,ENA10,Biopsi av farynx eller närliggande mjukdelar
ENA20,ENA,ENA20,Faryngotomi
ENA30,ENA,ENA30,Faryngostomi
ENB,EN,ENB,Resektioner av svalget och närliggande mjukdelar
ENB00,ENB,ENB00,Excision eller exploration av lokal förändring i farynx
ENB10,ENB,ENB10,Exstirpation av hypofarynxdivertikel
ENB20,ENB,ENB20,Faryngektomi
ENB30,ENB,ENB30,Laryngofaryngektomi
ENB40,ENB,ENB40,Exstirpation av lateral halscysta eller -fistel
ENB50,ENB,ENB50,Exstirpation av ductus thyreoglossus
ENB60,ENB,ENB60,Exstirpation av processus styloideus
ENB99,ENB,ENB99,Annan resektion av farynx eller närliggande mjukdelar
ENC,EN,ENC,Rekonstruktiva ingrepp på svalget och närliggande mjukdelar
ENC00,ENC,ENC00,Sutur av farynx eller närliggande mjukdelar
ENC10,ENC,ENC10,Avlägsnande av främmande kropp från farynx eller närliggande mjukdelar
ENC20,ENC,ENC20,Myotomi av m. cricopharyngeus
ENC30,ENC,ENC30,Plastikoperation av farynx
ENC40,ENC,ENC40,Uvulo-palato-faryngoplastik
ENC45,ENC,ENC45,Reducerande palato-faryngoplastik med användning av elektromagnetisk eller akustisk energi
ENC50,ENC,ENC50,Slutning av farynxfistel
ENC60,ENC,ENC60,Adherenslösning i farynx
ENC70,ENC,ENC70,Endoskopisk divertikulohypofaryngostomi
ENC99,ENC,ENC99,Annan rekonstruktion av farynx eller närliggande mjukdelar
ENW,EN,ENW,Andra operationer på svalget och närliggande mjukdelar
ENW99,ENW,ENW99,Annan operation på farynx eller närliggande mjukdelar
EW,E,EW,"Reoperationer på läppar, tänder, käkar, munnen och svalget"
EWA,EW,EWA,Reoperation för sårruptur
EWA00,EWA,EWA00,"Reoperation för sårruptur efter ingrepp på läppar, tänder, käkar, munnen eller svalget"
EWB,EW,EWB,Reoperation för ytlig infektion
EWB00,EWB,EWB00,"Reoperation för ytlig infektion efter ingrepp på läppar, tänder, käkar, munnen eller svalget"
EWC,EW,EWC,Reoperation för djup infektion
EWC00,EWC,EWC00,"Reoperation för djup infektion efter ingrepp på läppar, tänder, käkar, munnen eller svalget"
EWD,EW,EWD,Reoperation för ytlig blödning
EWD00,EWD,EWD00,"Reoperation för ytlig blödning efter ingrepp på läppar, tänder, käkar, munnen eller svalget"
EWE,EW,EWE,Reoperation för djup blödning
EWE00,EWE,EWE00,"Reoperation för djup blödning efter ingrepp på läppar, tänder, käkar, munnen eller svalget"
EWF,EW,EWF,Reoperation för anastomos- och suturinsufficiens
EWF00,EWF,EWF00,"Reoperation för anastomos- eller suturinsufficiens efter ingrepp på läppar, tänder, käkar, munnen eller svalget"
EWW,EW,EWW,"Annan reoperation på läppar, tänder, käkar, munnen och svalget"
EWW99,EWW,EWW99,"Annan reoperation på läpp, tand, käke, munnen eller svalget"
F,,F,Operationer på hjärtat och stora intratorakala kärl
FA,F,FA,Operationer på stora intratorakala vener
FAA,FA,FAA,Suturer och rekonstruktioner av intratorakala vena cava
FAA00,FAA,FAA00,Sutur av intratorakala vena cava
FAA10,FAA,FAA10,Sutur eller rekonstruktion av intratorakala vena cava med implantat
FAA96,FAA,FAA96,Annan sutur eller rekonstruktion av intratorakala vena cava
FAB,FA,FAB,Incisioner i och excisioner av vena cava
FAB00,FAB,FAB00,Incision i intratorakala vena cava
FAB10,FAB,FAB10,Trombektomi i intratorakala vena cava
FAB20,FAB,FAB20,Avlägsnande av främmande kropp från intratorakala vena cava
FAB22,FAB,FAB22,Perkutant transluminalt avlägsnande av främmande kropp från intratorakala vena cava
FAB30,FAB,FAB30,Exstirpation av patologisk förändring i intratorakala vena cava
FAB96,FAB,FAB96,Annan incision i eller excision av intratorakala vena cava
FAC,FA,FAC,"Resektioner, rekonstruktioner och ligaturer av intratorakala vena cava"
FAC00,FAC,FAC00,Resektion eller ligatur av intratorakala vena cava
FAC10,FAC,FAC10,Resektion och rekonstruktion av intratorakala vena cava med autologt ventransplantat
FAC20,FAC,FAC20,Resektion och rekonstruktion av intratorakala vena cava med protes
FAC22,FAC,FAC22,Perkutan transluminal angioplastik av intratorakala vena cava
FAC25,FAC,FAC25,Perkutan transluminal angioplastik av intratorakala vena cava med inläggande av stent
FAC96,FAC,FAC96,"Annan resektion, rekonstruktion eller ligatur av intratorakala vena cava"
FAD,FA,FAD,Bypass-operationer på intratorakala vena cava
FAD00,FAD,FAD00,Bypass-operation på intratorakala vena cava med autologt ventransplantat
FAD10,FAD,FAD10,Bypass-operation på intratorakala vena cava med rörprotes
FAD96,FAD,FAD96,Annan bypass-operation på intratorakala vena cava
FAE,FA,FAE,Cavo-pulmonala anastomosoperationer
FAE00,FAE,FAE00,Anastomos mellan vena cava superior och arteria pulmonalis
FAE10,FAE,FAE10,Bidirektionell shunt mellan vena cava superior och arteria pulmonalis
FAE20,FAE,FAE20,Total cavopulmonal förbindelse
FAE30,FAE,FAE30,Total cavopulmonal förbindelse med fenestrerad patch
FAE40,FAE,FAE40,Total cavopulmonal extrakardiell förbindelse
FAE50,FAE,FAE50,Total extrakardiell cavopulmonal förbindelse med shunt till atrium
FAE96,FAE,FAE96,Annan cavopulmonal anastomosoperation
FAF,FA,FAF,Operationer efter anläggande av cavopulmonal förbindelse
FAF00,FA,FAF00,Fenestrering av total cavopulmonal förbindelse
FAF10,FA,FAF10,Slutning av fenestrering vid cavopulmonal förbindelse
FAF12,FA,FAF12,Perkutan transluminal slutning av fenestrering vid cavopulmonal förbindelse
FAF20,FA,FAF20,Slutning av cavopulmonal anastomos
FAF96,FA,FAF96,Annan operation efter anläggande av cavopulmonal förbindelse
FAW,FA,FAW,Andra operationer på intratorakala vener
FAW96,FAW,FAW96,Annan operation på intratorakal ven
FB,F,FB,Operationer på arteria pulmonalis och dess grenar
FBA,FB,FBA,Suturer och rekonstruktioner av arteria pulmonalis
FBA00,FBA,FBA00,Sutur av arteria pulmonalis
FBA10,FBA,FBA10,Rekonstruktion av arteria pulmonalis med implantat
FBA96,FBA,FBA96,Annan sutur eller rekonstruktion av arteria pulmonalis
FBB,FB,FBB,Incisioner i arteria pulmonalis
FBB00,FBB,FBB00,Incision i arteria pulmonalis
FBB10,FBB,FBB10,Transarteriell extraktion av lungemboli
FBB20,FBB,FBB20,Trombendartärektomi i arteria pulmonalis vid kronisk obstruktion
FBB50,FBB,FBB50,Avlägsnande av främmande kropp från arteria pulmonalis eller dess grenar
FBB52,FBB,FBB52,Perkutant transluminalt avlägsnande av främmande kropp från arteria pulmonalis
FBB96,FBB,FBB96,Annan incision i arteria pulmonalis
FBC,FB,FBC,Bandnings-operationer på arteria pulmonalis
FBC00,FBC,FBC00,Bandning av arteria pulmonalis
FBC10,FBC,FBC10,Bandning av arteria pulmonalis tillsammans med annat ingrepp för medfött hjärtfel
FBC96,FBC,FBC96,Annan bandnings-operation på arteria pulmonalis
FBD,FB,FBD,Operationer med avlägsnande av band från arteria pulmonalis
FBD00,FBD,FBD00,Avlägsnande av band från arteria pulmonalis
FBD10,FBD,FBD10,Avlägsnande av band från och dilatation av arteria pulmonalis
FBD12,FBD,FBD12,Perkutan transluminal bandsprängning och dilatation av arteria pulmonalis
FBD20,FBD,FBD20,Avlägsnande av band från och rekonstruktion av arteria pulmonalis
FBD96,FBD,FBD96,Annan operation med avlägsnande av band från arteria pulmonalis
FBE,FB,FBE,Vidgningar och rekonstruktioner av arteria pulmonalis
FBE00,FBE,FBE00,Vidgning av arteria pulmonalis
FBE10,FBE,FBE10,Vidgning eller rekonstruktion av arteria pulmonalis (ev. med implantat)
FBE20,FBE,FBE20,Rekonstruktion av arteria pulmonalis med rörformad protes
FBE32,FBE,FBE32,Perkutan transluminal angioplastik av arteria pulmonalis
FBE35,FBE,FBE35,Perkutan transluminal angioplastik av arteria pulmonalis med inläggande av stent
FBE42,FBE,FBE42,Perkutan transluminal rekanalisering av arteria pulmonalis
FBE96,FBE,FBE96,Annan vidgning eller rekonstruktion av arteria pulmonalis
FBF,FB,FBF,Reduktioner av arteria pulmonalis
FBF00,FBF,FBF00,Resektion av arteria pulmonalis
FBF10,FBF,FBF10,Resektion och rekonstruktion av arteria pulmonalis med transplantat
FBF20,FBF,FBF20,Resektion av arteria pulmonalis med rekonstruktion av luftvägar
FBF96,FBF,FBF96,Annan reduktion av arteria pulmonalis
FBG,FB,FBG,Unifokalisering vid MAPCA med implantat i arteria pulmonalis eller protes
FBG00,FBG,FBG00,Anastomos till arteria pulmonalis från MAPCA
FBG10,FBG,FBG10,Anastomos till protes från MAPCA
FBG96,FBG,FBG96,Annan unifokalisering vid MAPCA
FBH,FB,FBH,Rekonstruktioner vid pulmonal kärlslynga
FBH00,FBH,FBH00,Transponering av pulmonal kärlslynga
FBH10,FBH,FBH10,Transponering med delning av luftväg
FBH96,FBH,FBH96,Annan rekonstruktion vid pulmonal kärlslynga
FBJ,FB,FBJ,Subklaviopulmonala shuntoperationer
FBJ00,FBJ,FBJ00,Subklaviopulmonal shunt
FBJ10,FBJ,FBJ10,Subklaviopulmonal shunt med kärlprotes
FBJ96,FBJ,FBJ96,Annan subklaviopulmonal shuntoperation
FBK,FB,FBK,Slutning av subklaviopulmonal anastomos
FBK00,FBK,FBK00,Slutning av subklavio-pulmonell shunt
FBK03,FBK,FBK03,Slutning av subklaviopulmonal anastomos
FBK10,FBK,FBK10,Slutning av subklavio-pulmonell protesshunt
FBK13,FBK,FBK13,Slutning av subklaviopulmonal anastomos med rekonstruktion av arteria pulmonalis
FBK96,FBK,FBK96,Annan operation för slutning av subklaviopulmonal shunt
FBL,FB,FBL,Aortopulmonala anastomoser och shuntar
FBL00,FBL,FBL00,Anastomos mellan aorta ascendens och arteria pulmonalis huvudstam
FBL10,FBL,FBL10,Aortopulmonal anastomos
FBL20,FBL,FBL20,Distal aortopulmonal anastomos
FBL30,FBL,FBL30,Aortopulmonal shunt med kärlprotes
FBL40,FBL,FBL40,Aortopulmonal anastomos eller shunt vid univentrikulära hjärtmissbildningar
FBL50,FBL,FBL50,Aortopulmonal anastomos med delning av arteria pulmonalis
FBL96,FBL,FBL96,Annan aortopulmonal anastomos eller shunt
FBM,FB,FBM,Slutning eller delning av anlagda aortopulmonala anastomoser och shuntar
FBM00,FBM,FBM00,Slutning av central aortopulmonal anastomos
FBM10,FBM,FBM10,Slutning av aortopulmonal shunt
FBM20,FBM,FBM20,Slutning av distal aortopulmonal shunt
FBM30,FBM,FBM30,Slutning av aortopulmonal protesshunt
FBM96,FBM,FBM96,Annan slutning eller delning av anlagd aortopulmonal anastomos eller shunt
FBN,FB,FBN,Operationer för fistel från arteria pulmonalis
FBN00,FBN,FBN00,Slutning av fistel från arteria pulmonalis till förmak
FBN10,FBN,FBN10,Slutning av arteriovenös fistel från arteria pulmonalis
FBN96,FBN,FBN96,Annan operation för fistel från arteria pulmonalis
FBW,FB,FBW,Andra operationer på arteria pulmonalis och dess grenar
FBW96,FBW,FBW96,Annan operation på arteria pulmonalis eller dess grenar
FC,F,FC,Operationer på torakala och torakoabdominala aorta
FCA,FC,FCA,Rekonstruktioner av aorta ascendens
FCA00,FCA,FCA00,Rekonstruktion av aorta ascendens med sutur
FCA10,FCA,FCA10,Rekonstruktion av aorta ascendens med delning och sutur
FCA20,FCA,FCA20,Yttre förstärkning av aorta ascendens
FCA30,FCA,FCA30,Partiell resektion och sutur av aorta ascendens
FCA40,FCA,FCA40,Rekonstruktion av aorta ascendens med patch
FCA45,FCA,FCA45,Perkutant inläggande av stent i aorta ascendens
FCA50,FCA,FCA50,Resektion och rekonstruktion av aorta ascendens med kärlprotes
FCA60,FCA,FCA60,Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av klaffbärande kärlprotes
FCA70,FCA,FCA70,Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av biologisk klaff och kärlprotes
FCA80,FCA,FCA80,Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och med bibehållande av patientens egen aortaklaff
FCA83,FCA,FCA83,Avlägsnande av främmande kropp från aorta ascendens
FCA84,FCA,FCA84,Perkutant avlägsnande av främmande kropp från aorta ascendens
FCA96,FCA,FCA96,Annan rekonstruktion av aorta ascendens
FCB,FC,FCB,Rekonstruktioner av aortabågen
FCB00,FCB,FCB00,Rekonstruktion av aortabågen med sutur
FCB10,FCB,FCB10,Rekonstruktion av aortabågen med delning och sutur
FCB20,FCB,FCB20,Partiell resektion och sutur av aortabågen
FCB30,FCB,FCB30,Rekonstruktion av aortabågen med patch
FCB35,FCB,FCB35,Perkutant inläggande av stent till aortabågen
FCB40,FCB,FCB40,Resektion och rekonstruktion av aortabågen med kärlprotes
FCB50,FCB,FCB50,Resektion av aortabågen och reimplantation av grenar
FCB80,FCB,FCB80,Avlägsnande av främmande kropp från aortabågen
FCB82,FCB,FCB82,Perkutant avlägsnande av främmande kropp från aortabågen
FCB96,FCB,FCB96,Annan rekonstruktion av aortabågen
FCC,FC,FCC,Rekonstruktioner av aorta descendens
FCC00,FCC,FCC00,Rekonstruktion av aorta descendens med sutur
FCC10,FCC,FCC10,Rekonstruktion av aorta descendens med delning och sutur
FCC20,FCC,FCC20,Yttre förstärkning av aorta descendens
FCC30,FCC,FCC30,Partiell resektion och sutur av aorta descendens
FCC40,FCC,FCC40,Rekonstruktion av aorta descendens med patch
FCC45,FCC,FCC45,Perkutant inläggande av stent i aorta descendens
FCC50,FCC,FCC50,Resektion och rekonstruktion av aorta descendens med kärlprotes
FCC60,FCC,FCC60,Resektion och rekonstruktion av aorta descendens med reimplantation av grenar
FCC70,FCC,FCC70,Bypass av aorta descendens med protes
FCC76,FCC,FCC76,Bypass av torakoabdominala aorta med protes
FCC80,FCC,FCC80,Avlägsnande av främmande kropp från aorta descendens
FCC82,FCC,FCC82,Perkutant avlägsnande av främmande kropp från aorta descendens
FCC96,FCC,FCC96,Annan rekonstruktion av aorta descendens
FCD,FC,FCD,Rekonstruktioner av torakoabdominala aorta
FCD00,FCD,FCD00,Sutur av torakoabdominala aorta
FCD10,FCD,FCD10,Förstärkning av torakoabdominala aorta med sutur
FCD30,FCD,FCD30,Rekonstruktion av torakoabdominala aorta med patch
FCD35,FCD,FCD35,Perkutant inläggande av stent i torakoabdominala aorta
FCD40,FCD,FCD40,Partiell resektion och sutur av torakoabdominala aorta
FCD50,FCD,FCD50,Resektion och rekonstruktion av torakoabdominala aorta med kärlprotes
FCD60,FCD,FCD60,Resektion och rekonstruktion av torakoabdominala aorta med reimplantation av grenar
FCD70,FCD,FCD70,Bypass av torakoabdominala aorta med kärlprotes
FCD80,FCD,FCD80,Avlägsnande av främmande kropp från torakoabdominala aorta
FCD82,FCD,FCD82,Perkutant avlägsnande av främmande kropp från torakoabdominala aorta
FCD96,FCD,FCD96,Annan rekonstruktion av torakoabdominala aorta
FCE,FC,FCE,Slutning av förvärvad fistel från aorta
FCE00,FCE,FCE00,Slutning av rupturerat sinus Valsalva-aneurysm
FCE10,FCE,FCE10,Slutning av förvärvad aortovenös fistel
FCE20,FCE,FCE20,Slutning av förvärvad aortopulmonal fistel
FCE30,FCE,FCE30,Slutning av förvärvad aortobronkial fistel
FCE40,FCE,FCE40,Slutning av förvärvad aortoenterisk fistel
FCE96,FCE,FCE96,Slutning av annan förvärvad fistel från aorta
FCW,FC,FCW,Andra operationer på torakala och torakoabdominala aorta
FCW96,FCW,FCW96,Annan operation på torakala eller torakoabdominala aorta
FD,F,FD,Operationer för anomalier och defekter med relation till bröstaorta
